trial_id,token_id,role,previous_verdict,word,expected_pinyin,expected_tone,speaker_id,utterance_id,duration_seconds,alignment_score,voiced_proportion,alignment_status
A001,00201114_01,control,ACCEPT,貓,māo,1,02011,00201114,0.3211,0.6642,1.000,good
A002,00202829_04,reject,REJECT,機,jī,1,02028,00202829,0.2004,0.5143,1.000,good
A003,00200714_04,reject,REJECT,字,zì,4,02007,00200714,0.1003,0.8492,0.636,good
A004,00200720_03,reject,REJECT,一,yī,1,02007,00200720,0.0802,0.4918,1.000,good
A005,00202901_01,control,ACCEPT,國,guó,2,02029,00202901,0.1405,0.9929,0.579,good
A006,00204426_09,reject,REJECT,裡,lǐ,3,02044,00204426,0.1003,0.9416,1.000,good
A007,00200814_07,control,ACCEPT,花,huā,1,02008,00200814,0.1607,0.9982,0.826,good
A008,00203829_03,control,ACCEPT,手,shǒu,3,02038,00203829,0.1603,0.9886,1.000,good
A009,00204229_07,reject,REJECT,條,tiáo,2,02042,00204229,0.2606,0.9812,0.465,good
A010,00203229_05,control,ACCEPT,發,fā,1,02032,00203229,0.1004,0.9979,0.455,good
A011,00203113_02,reject,REJECT,熱,rè,4,02031,00203113,0.0805,0.8320,1.000,good
A012,00200120_00,control,ACCEPT,裡,lǐ,3,02001,00200120,0.1001,0.9862,1.000,good
A013,00202629_03,reject,REJECT,手,shǒu,3,02026,00202629,0.4407,0.8425,0.418,good
A014,00203113_03,reject,REJECT,熱,rè,4,02031,00203113,0.1006,0.4424,1.000,good
A015,00203026_03,control,ACCEPT,夜,yè,4,02030,00203026,0.1003,0.7343,1.000,good
A016,00201420_00,reject,REJECT,裡,lǐ,3,02014,00201420,0.1002,0.9115,1.000,good
A017,00200614_03,reject,REJECT,名,míng,2,02006,00200614,0.2212,0.9328,0.971,good
A018,00203220_06,reject,REJECT,福,fú,2,02032,00203220,0.1007,0.9931,0.364,good
A019,00201220_13,control,ACCEPT,一,yī,1,02012,00201220,0.0801,0.5093,1.000,good
A020,00204426_03,reject,REJECT,夜,yè,4,02044,00204426,0.0803,0.9920,1.000,good
A021,00200220_03,reject,REJECT,一,yī,1,02002,00200220,0.1001,0.8072,1.000,good
A022,00203126_03,reject,REJECT,夜,yè,4,02031,00203126,0.0803,0.7562,1.000,good
A023,00203511_10,reject,REJECT,福,fú,2,02035,00203511,0.1003,0.9881,0.545,good
A024,00202014_00,control,ACCEPT,小,xiǎo,3,02020,00202014,0.1813,0.4912,0.630,good
A025,00202328_04,control,ACCEPT,也,yě,3,02023,00202328,0.1003,0.9747,1.000,good
A026,00204011_10,reject,REJECT,福,fú,2,02040,00204011,0.1005,0.9817,0.545,good
A027,00204311_10,control,ACCEPT,福,fú,2,02043,00204311,0.1005,0.9889,0.727,good
A028,00202328_02,control,ACCEPT,拜,bài,4,02023,00202328,0.1806,0.4092,1.000,good
A029,00201320_00,reject,REJECT,裡,lǐ,3,02013,00201320,0.0801,0.9495,1.000,good
A030,00200914_04,control,ACCEPT,字,zì,4,02009,00200914,0.1005,0.9870,1.000,good
A031,00203011_06,control,ACCEPT,福,fú,2,02030,00203011,0.1404,0.9403,0.474,good
A032,00203011_10,control,ACCEPT,福,fú,2,02030,00203011,0.1003,0.9908,0.545,good
A033,00202909_03,reject,REJECT,屋,wū,1,02029,00202909,0.1202,0.4571,0.667,good
A034,00202020_00,reject,REJECT,裡,lǐ,3,02020,00202020,0.1001,0.9918,1.000,good
A035,00201414_08,reject,REJECT,花,huā,1,02014,00201414,0.1611,0.9905,0.522,good
A036,00202518_01,control,ACCEPT,月,yuè,4,02025,00202518,0.1406,0.8654,1.000,good
A037,00200314_03,control,ACCEPT,名,míng,2,02003,00200314,0.2207,0.8866,1.000,good
A038,00203126_00,control,ACCEPT,就,jiù,4,02031,00203126,0.1406,0.8172,0.632,good
A039,00204011_01,control,ACCEPT,一,yī,1,02040,00204011,0.0603,0.4903,1.000,good
A040,00201920_05,control,ACCEPT,小,xiǎo,3,02019,00201920,0.2803,0.9686,0.638,good
A041,00202220_01,reject,REJECT,邊,biān,1,02022,00202220,0.3205,0.7277,0.709,good
A042,00200520_06,control,ACCEPT,桌,zhuō,1,02005,00200520,0.1603,0.6653,0.522,good
A043,00202626_08,reject,REJECT,館,guǎn,3,02026,00202626,0.2804,0.9709,0.979,good
A044,00200920_13,reject,REJECT,一,yī,1,02009,00200920,0.0802,0.4453,0.429,good
A045,00204126_02,control,ACCEPT,年,nián,2,02041,00204126,0.2007,0.9887,1.000,good
A046,00202518_10,reject,REJECT,服,fú,2,02025,00202518,0.1406,0.9416,0.526,good
A047,00201020_00,control,ACCEPT,裡,lǐ,3,02010,00201020,0.1201,0.9202,1.000,good
A048,00200814_01,control,ACCEPT,貓,māo,1,02008,00200814,0.4420,0.8860,0.975,good
