trial_id,token_id,padding_ms,alignment_status,prior_three_level,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,duration_seconds
Q001,00203929_05,20,good,QUESTIONABLE,0,發,fā,1,02039,00203929,0.1602
Q002,00203829_03,40,good,GOOD,1,手,shǒu,3,02038,00203829,0.2403
Q003,00202220_01,0,good,QUESTIONABLE,1,邊,biān,1,02022,00202220,0.3206
Q004,00204526_04,60,good,WRONG,0,飯,fàn,4,02045,00204526,0.3610
Q005,00203011_06,40,good,QUESTIONABLE,0,福,fú,2,02030,00203011,0.2204
Q006,00204311_11,20,good,GOOD,1,到,dào,4,02043,00204311,0.2811
Q007,00202901_03,60,good,QUESTIONABLE,1,曆,lì,4,02029,00202901,0.2405
Q008,00203126_00,20,good,QUESTIONABLE,1,就,jiù,4,02031,00203126,0.1806
Q009,00203326_07,20,good,WRONG,1,餐,cān,1,02033,00203326,0.3209
Q010,00200314_03,60,good,GOOD,1,名,míng,2,02003,00200314,0.3407
Q011,00200914_01,20,good,QUESTIONABLE,1,貓,māo,1,02009,00200914,0.2210
Q012,00202120_08,60,good,QUESTIONABLE,0,兩,liǎng,3,02021,00202120,0.4204
Q013,00203711_08,40,good,WRONG,1,表,biǎo,3,02037,00203711,0.3011
Q014,00202901_10,0,good,QUESTIONABLE,1,節,jié,2,02029,00202901,0.1606
Q015,00202901_01,20,good,QUESTIONABLE,1,國,guó,2,02029,00202901,0.1805
Q016,00203829_08,60,good,GOOD,0,短,duǎn,3,02038,00203829,0.3003
Q017,00202826_02,0,good,GOOD,1,年,nián,2,02028,00202826,0.1805
Q018,00203529_07,0,good,GOOD,0,條,tiáo,2,02035,00203529,0.3405
Q019,00201514_04,60,good,GOOD,1,字,zì,4,02015,00201514,0.2404
Q020,00200720_03,0,good,QUESTIONABLE,0,一,yī,1,02007,00200720,0.0802
Q021,00200120_00,40,good,GOOD,1,裡,lǐ,3,02001,00200120,0.1801
Q022,00201220_15,60,good,QUESTIONABLE,1,床,chuáng,2,02012,00201220,0.6408
Q023,00201220_13,0,good,GOOD,1,一,yī,1,02012,00201220,0.0801
Q024,00202328_05,0,good,QUESTIONABLE,0,變,biàn,4,02023,00202328,0.2208
Q025,00201420_00,0,good,QUESTIONABLE,0,裡,lǐ,3,02014,00201420,0.1003
Q026,00201314_01,40,good,QUESTIONABLE,0,貓,māo,1,02013,00201314,0.2210
Q027,00202320_08,0,good,GOOD,1,話,huà,4,02023,00202320,0.1406
Q028,00204011_01,20,good,QUESTIONABLE,1,一,yī,1,02040,00204011,0.1003
Q029,00202526_08,20,good,GOOD,0,館,guǎn,3,02025,00202526,0.2611
Q030,00203113_03,60,good,GOOD,1,熱,rè,4,02031,00203113,0.2205
Q031,00201520_08,20,good,WRONG,0,兩,liǎng,3,02015,00201520,0.3001
Q032,00201020_01,0,good,QUESTIONABLE,1,邊,biān,1,02010,00201020,0.2802
Q033,00204126_02,60,good,QUESTIONABLE,1,年,nián,2,02041,00204126,0.3207
Q034,00202518_10,40,good,GOOD,1,服,fú,2,02025,00202518,0.2206
Q035,00203220_06,0,good,QUESTIONABLE,0,福,fú,2,02032,00203220,0.1008
Q036,00203511_10,0,good,GOOD,0,福,fú,2,02035,00203511,0.1003
Q037,00203229_07,20,good,QUESTIONABLE,0,條,tiáo,2,02032,00203229,0.2408
Q038,00200620_01,40,good,GOOD,0,邊,biān,1,02006,00200620,0.4205
Q039,00204229_02,60,good,WRONG,1,用,yòng,4,02042,00204229,0.3204
Q040,00201820_05,60,good,QUESTIONABLE,0,小,xiǎo,3,02018,00201820,0.4604
Q041,00203026_03,20,good,GOOD,0,夜,yè,4,02030,00203026,0.1402
Q042,00202426_05,40,good,GOOD,1,搬,bān,1,02024,00202426,0.3607
Q043,00201914_08,40,good,GOOD,1,花,huā,1,02019,00201914,0.2204
Q044,00204426_09,0,good,QUESTIONABLE,1,裡,lǐ,3,02044,00204426,0.1003
Q045,00203929_05,0,good,QUESTIONABLE,0,發,fā,1,02039,00203929,0.1202
Q046,00203829_03,60,good,GOOD,1,手,shǒu,3,02038,00203829,0.2803
Q047,00202220_01,20,good,QUESTIONABLE,1,邊,biān,1,02022,00202220,0.3606
Q048,00204526_04,40,good,WRONG,0,飯,fàn,4,02045,00204526,0.3210
Q049,00203011_06,0,good,QUESTIONABLE,0,福,fú,2,02030,00203011,0.1404
Q050,00204311_11,40,good,GOOD,1,到,dào,4,02043,00204311,0.3211
Q051,00202901_03,20,good,QUESTIONABLE,1,曆,lì,4,02029,00202901,0.1605
Q052,00203126_00,40,good,QUESTIONABLE,1,就,jiù,4,02031,00203126,0.2206
Q053,00203326_07,60,good,WRONG,1,餐,cān,1,02033,00203326,0.4009
Q054,00200314_03,40,good,GOOD,1,名,míng,2,02003,00200314,0.3007
Q055,00200914_01,40,good,QUESTIONABLE,1,貓,māo,1,02009,00200914,0.2610
Q056,00202120_08,40,good,QUESTIONABLE,0,兩,liǎng,3,02021,00202120,0.3804
Q057,00203711_08,20,good,WRONG,1,表,biǎo,3,02037,00203711,0.2611
Q058,00202901_10,40,good,QUESTIONABLE,1,節,jié,2,02029,00202901,0.2406
Q059,00202901_01,0,good,QUESTIONABLE,1,國,guó,2,02029,00202901,0.1405
Q060,00203829_08,20,good,GOOD,0,短,duǎn,3,02038,00203829,0.2203
Q061,00202826_02,20,good,GOOD,1,年,nián,2,02028,00202826,0.2205
Q062,00203529_07,40,good,GOOD,0,條,tiáo,2,02035,00203529,0.4205
Q063,00201514_04,40,good,GOOD,1,字,zì,4,02015,00201514,0.2004
Q064,00200720_03,60,good,QUESTIONABLE,0,一,yī,1,02007,00200720,0.2002
Q065,00200120_00,60,good,GOOD,1,裡,lǐ,3,02001,00200120,0.2201
Q066,00201220_15,0,good,QUESTIONABLE,1,床,chuáng,2,02012,00201220,0.5208
