trial_id,token_id,padding_ms,alignment_status,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,duration_seconds
C001,00203429_07,20,good,1,條,tiáo,2,02034,00203429,0.2605
C002,00202020_00,0,good,1,裡,lǐ,3,02020,00202020,0.1001
C003,00203229_08,0,good,1,短,duǎn,3,02032,00203229,0.1606
C004,00203326_08,20,good,1,館,guǎn,3,02033,00203326,0.2407
C005,00204426_03,0,good,1,夜,yè,4,02044,00204426,0.0802
C006,00202626_08,0,good,1,館,guǎn,3,02026,00202626,0.2803
C007,00204611_08,20,good,1,表,biǎo,3,02046,00204611,0.2208
C008,00203929_08,20,good,0,短,duǎn,3,02039,00203929,0.3005
C009,00201520_01,0,good,1,邊,biān,1,02015,00201520,0.2801
C010,00203529_02,0,good,1,用,yòng,4,02035,00203529,0.2804
C011,00201814_03,0,good,1,名,míng,2,02018,00201814,0.2611
C012,00202426_06,0,good,1,到,dào,4,02024,00202426,0.2405
C013,00203026_02,20,good,1,年,nián,2,02030,00203026,0.2205
C014,00203126_03,0,good,1,夜,yè,4,02031,00203126,0.0804
C015,00203229_05,0,good,1,發,fā,1,02032,00203229,0.1004
C016,00202518_01,20,good,1,月,yuè,4,02025,00202518,0.1806
C017,00202120_01,20,good,1,邊,biān,1,02021,00202120,0.3805
C018,00202014_00,0,good,1,小,xiǎo,3,02020,00202014,0.1813
C019,00202220_08,20,good,1,兩,liǎng,3,02022,00202220,0.3004
C020,00203113_02,20,good,1,熱,rè,4,02031,00203113,0.1205
C021,00201614_06,0,good,1,是,shì,4,02016,00201614,0.1206
C022,00200314_07,20,good,1,花,huā,1,02003,00200314,0.2206
C023,00203429_03,0,good,1,手,shǒu,3,02034,00203429,0.1804
C024,00202629_03,20,good,1,手,shǒu,3,02026,00202629,0.4808
C025,00201214_03,0,good,1,名,míng,2,02012,00201214,0.2611
C026,00204011_10,0,good,1,福,fú,2,02040,00204011,0.1006
C027,00201920_05,0,good,1,小,xiǎo,3,02019,00201920,0.2803
C028,00201114_01,20,good,1,貓,māo,1,02011,00201114,0.3610
C029,00200920_13,0,good,1,一,yī,1,02009,00200920,0.0802
C030,00202829_04,0,good,1,機,jī,1,02028,00202829,0.2004
C031,00204426_02,20,good,1,年,nián,2,02044,00204426,0.2206
C032,00200814_01,0,good,1,貓,māo,1,02008,00200814,0.4420
C033,00201820_08,20,good,1,兩,liǎng,3,02018,00201820,0.3404
C034,00201414_08,20,good,1,花,huā,1,02014,00201414,0.2011
C035,00202328_04,0,good,1,也,yě,3,02023,00202328,0.1003
C036,00200814_07,20,good,0,花,huā,1,02008,00200814,0.2008
C037,00200714_04,20,good,1,字,zì,4,02007,00200714,0.1404
C038,00203026_06,0,good,1,到,dào,4,02030,00203026,0.2808
C039,00204126_00,20,good,1,就,jiù,4,02041,00204126,0.2407
C040,00203829_05,0,good,1,發,fā,1,02038,00203829,0.1202
C041,00200120_15,0,good,1,床,chuáng,2,02001,00200120,0.3803
C042,00202909_03,20,good,0,屋,wū,1,02029,00202909,0.1602
C043,00204011_08,20,good,1,表,biǎo,3,02040,00204011,0.2008
C044,00200614_03,0,good,1,名,míng,2,02006,00200614,0.2212
C045,00202826_05,0,good,1,搬,bān,1,02028,00202826,0.2005
C046,00203711_11,0,good,0,到,dào,4,02037,00203711,0.2412
C047,00200914_04,20,good,1,字,zì,4,02009,00200914,0.1405
C048,00200220_03,0,good,0,一,yī,1,02002,00200220,0.1001
C049,00203529_08,0,good,1,短,duǎn,3,02035,00203529,0.2804
C050,00201520_06,0,good,0,桌,zhuō,1,02015,00201520,0.7204
C051,00200520_06,20,good,1,桌,zhuō,1,02005,00200520,0.2003
C052,00201320_08,0,good,1,兩,liǎng,3,02013,00201320,0.2803
C053,00203626_05,0,good,1,搬,bān,1,02036,00203626,0.3007
C054,00203626_07,0,good,1,餐,cān,1,02036,00203626,0.2205
C055,00201320_00,20,good,1,裡,lǐ,3,02013,00201320,0.1201
C056,00204526_02,0,good,1,年,nián,2,02045,00204526,0.1606
C057,00200414_04,0,good,1,字,zì,4,02004,00200414,0.1408
C058,00203011_10,0,good,0,福,fú,2,02030,00203011,0.1003
C059,00202729_02,20,good,1,用,yòng,4,02027,00202729,0.2401
C060,00201220_05,20,good,1,小,xiǎo,3,02012,00201220,0.2804
C061,00201620_15,20,good,1,床,chuáng,2,02016,00201620,0.3606
C062,00202518_08,0,good,1,新,xīn,1,02025,00202518,0.1807
C063,00204229_07,0,good,1,條,tiáo,2,02042,00204229,0.2606
C064,00203829_07,0,good,1,條,tiáo,2,02038,00203829,0.3606
C065,00203326_04,20,good,1,飯,fàn,4,02033,00203326,0.2607
C066,00201020_00,0,good,1,裡,lǐ,3,02010,00201020,0.1201
C067,00204311_10,0,good,1,福,fú,2,02043,00204311,0.1005
C068,00202328_02,0,good,1,拜,bài,4,02023,00202328,0.1806
C069,00202909_10,0,good,1,淨,jìng,4,02029,00202909,0.2204
