word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
一,yī,1,moe_dict,verified,yī(ㄧ)=1,1,1
三,,,moe_dict,ambiguous_polyphone,sā(ㄙㄚ)=1|sān(ㄙㄢ)=1|sàn(ㄙㄢˋ)=4,3,"1,4"
上,,,moe_dict,ambiguous_polyphone,shǎng(ㄕㄤˇ)=3|shàng(ㄕㄤˋ)=4,2,"3,4"
下,xià,4,moe_dict,verified,xià(ㄒㄧㄚˋ)=4,1,4
不,,,moe_dict,ambiguous_polyphone,bù(ㄅㄨˋ)=4|fōu(ㄈㄡ)=1|fǒu(ㄈㄡˇ)=3|fū(ㄈㄨ)=1,4,"1,3,4"
且,,,moe_dict,ambiguous_polyphone,jū(ㄐㄩ)=1|qiě(ㄑㄧㄝˇ)=3,2,"1,3"
中,,,moe_dict,ambiguous_polyphone,zhōng(ㄓㄨㄥ)=1|zhòng(ㄓㄨㄥˋ)=4,2,"1,4"
也,yě,3,moe_dict,verified,yě(ㄧㄝˇ)=3,1,3
乾,,,moe_dict,ambiguous_polyphone,gān(ㄍㄢ)=1|qián(ㄑㄧㄢˊ)=2,2,"1,2"
了,,,moe_dict,ambiguous_polyphone,le(˙ㄌㄜ)=5|liǎo(ㄌㄧㄠˇ)=3,2,"3,5"
事,shì,4,moe_dict,verified,shì(ㄕˋ)=4,1,4
二,èr,4,moe_dict,verified,èr(ㄦˋ)=4,1,4
互,hù,4,moe_dict,verified,hù(ㄏㄨˋ)=4,1,4
些,,,moe_dict,ambiguous_polyphone,xiē(ㄒㄧㄝ)=1|suò(ㄙㄨㄛˋ)=4,2,"1,4"
亮,,,moe_dict,ambiguous_polyphone,liáng(ㄌㄧㄤˊ)=2|liàng(ㄌㄧㄤˋ)=4,2,"2,4"
人,rén,2,moe_dict,verified,rén(ㄖㄣˊ)=2,1,2
什,,2,moe_dict,verified_tone_only,shí(ㄕˊ)=2|shé(ㄕㄜˊ)=2|shén(ㄕㄣˊ)=2,3,2
今,jīn,1,moe_dict,verified,jīn(ㄐㄧㄣ)=1,1,1
他,,1,moe_dict,verified_tone_only,tā(ㄊㄚ)=1|tuō(ㄊㄨㄛ)=1,2,1
以,yǐ,3,moe_dict,verified,yǐ(ㄧˇ)=3,1,3
但,dàn,4,moe_dict,verified,dàn(ㄉㄢˋ)=4,1,4
位,wèi,4,moe_dict,verified,wèi(ㄨㄟˋ)=4,1,4
住,zhù,4,moe_dict,verified,zhù(ㄓㄨˋ)=4,1,4
作,,,moe_dict,ambiguous_polyphone,zuō(ㄗㄨㄛ)=1|zuó(ㄗㄨㄛˊ)=2|zuò(ㄗㄨㄛˋ)=4,3,"1,2,4"
你,nǐ,3,moe_dict,verified,nǐ(ㄋㄧˇ)=3,1,3
使,,,moe_dict,ambiguous_polyphone,shǐ(ㄕˇ)=3|shì(ㄕˋ)=4,2,"3,4"
來,,,moe_dict,ambiguous_polyphone,lái(ㄌㄞˊ)=2|lài(ㄌㄞˋ)=4,2,"2,4"
信,,,moe_dict,ambiguous_polyphone,xìn(ㄒㄧㄣˋ)=4|shēn(ㄕㄣ)=1,2,"1,4"
個,,,moe_dict,ambiguous_polyphone,ge(˙ㄍㄜ)=5|gě(ㄍㄜˇ)=3|gè(ㄍㄜˋ)=4,3,"3,4,5"
們,,,moe_dict,ambiguous_polyphone,men(˙ㄇㄣ)=5|mén(ㄇㄣˊ)=2,2,"2,5"
倒,,,moe_dict,ambiguous_polyphone,dǎo(ㄉㄠˇ)=3|dào(ㄉㄠˋ)=4,2,"3,4"
候,hòu,4,moe_dict,verified,hòu(ㄏㄡˋ)=4,1,4
假,,,moe_dict,ambiguous_polyphone,jiǎ(ㄐㄧㄚˇ)=3|jià(ㄐㄧㄚˋ)=4,2,"3,4"
做,zuò,4,moe_dict,verified,zuò(ㄗㄨㄛˋ)=4,1,4
健,jiàn,4,moe_dict,verified,jiàn(ㄐㄧㄢˋ)=4,1,4
備,bèi,4,moe_dict,verified,bèi(ㄅㄟˋ)=4,1,4
先,,,moe_dict,ambiguous_polyphone,xiān(ㄒㄧㄢ)=1|xiàn(ㄒㄧㄢˋ)=4,2,"1,4"
兒,,2,moe_dict,verified_tone_only,ní(ㄋㄧˊ)=2|ér(ㄦˊ)=2,2,2
全,quán,2,moe_dict,verified,quán(ㄑㄩㄢˊ)=2,1,2
兩,liǎng,3,moe_dict,verified,liǎng(ㄌㄧㄤˇ)=3,1,3
六,,4,moe_dict,verified_tone_only,liù(ㄌㄧㄡˋ)=4|lù(ㄌㄨˋ)=4,2,4
再,zài,4,moe_dict,verified,zài(ㄗㄞˋ)=4,1,4
出,chū,1,moe_dict,verified,chū(ㄔㄨ)=1,1,1
初,chū,1,moe_dict,verified,chū(ㄔㄨ)=1,1,1
利,lì,4,moe_dict,verified,lì(ㄌㄧˋ)=4,1,4
刮,guā,1,moe_dict,verified,guā(ㄍㄨㄚ)=1,1,1
到,dào,4,moe_dict,verified,dào(ㄉㄠˋ)=4,1,4
前,qián,2,moe_dict,verified,qián(ㄑㄧㄢˊ)=2,1,2
副,,4,moe_dict,verified_tone_only,pì(ㄆㄧˋ)=4|fù(ㄈㄨˋ)=4,2,4
力,lì,4,moe_dict,verified,lì(ㄌㄧˋ)=4,1,4
包,bāo,1,moe_dict,verified,bāo(ㄅㄠ)=1,1,1
十,shí,2,moe_dict,verified,shí(ㄕˊ)=2,1,2
半,bàn,4,moe_dict,verified,bàn(ㄅㄢˋ)=4,1,4
厭,,,moe_dict,ambiguous_polyphone,yān(ㄧㄢ)=1|yàn(ㄧㄢˋ)=4,2,"1,4"
去,qù,4,moe_dict,verified,qù(ㄑㄩˋ)=4,1,4
又,yòu,4,moe_dict,verified,yòu(ㄧㄡˋ)=4,1,4
友,yǒu,3,moe_dict,verified,yǒu(ㄧㄡˇ)=3,1,3
反,,,moe_dict,ambiguous_polyphone,fān(ㄈㄢ)=1|fǎn(ㄈㄢˇ)=3|fàn(ㄈㄢˋ)=4,3,"1,3,4"
口,kǒu,3,moe_dict,verified,kǒu(ㄎㄡˇ)=3,1,3
只,,,moe_dict,ambiguous_polyphone,zhī(ㄓ)=1|zhǐ(ㄓˇ)=3,2,"1,3"
叫,jiào,4,moe_dict,verified,jiào(ㄐㄧㄠˋ)=4,1,4
叮,dīng,1,moe_dict,verified,dīng(ㄉㄧㄥ)=1,1,1
可,,,moe_dict,ambiguous_polyphone,kě(ㄎㄜˇ)=3|kè(ㄎㄜˋ)=4,2,"3,4"
吃,,,moe_dict,ambiguous_polyphone,jí(ㄐㄧˊ)=2|chī(ㄔ)=1,2,"1,2"
同,,,moe_dict,ambiguous_polyphone,tóng(ㄊㄨㄥˊ)=2|tòng(ㄊㄨㄥˋ)=4,2,"2,4"
名,míng,2,moe_dict,verified,míng(ㄇㄧㄥˊ)=2,1,2
吸,xī,1,moe_dict,verified,xī(ㄒㄧ)=1,1,1
呢,,,moe_dict,ambiguous_polyphone,ne(˙ㄋㄜ)=5|ní(ㄋㄧˊ)=2,2,"2,5"
周,zhōu,1,moe_dict,verified,zhōu(ㄓㄡ)=1,1,1
呼,hū,1,moe_dict,verified,hū(ㄏㄨ)=1,1,1
和,,,moe_dict,ambiguous_polyphone,huo(˙ㄏㄨㄛ)=5|hé(ㄏㄜˊ)=2|hè(ㄏㄜˋ)=4|hàn(ㄏㄢˋ)=4|hú(ㄏㄨˊ)=2|huò(ㄏㄨㄛˋ)=4,6,"2,4,5"
哎,āi,1,moe_dict,verified,āi(ㄞ)=1,1,1
哥,gē,1,moe_dict,verified,gē(ㄍㄜ)=1,1,1
喜,xǐ,3,moe_dict,verified,xǐ(ㄒㄧˇ)=3,1,3
單,,,moe_dict,ambiguous_polyphone,dān(ㄉㄢ)=1|chán(ㄔㄢˊ)=2|shàn(ㄕㄢˋ)=4,3,"1,2,4"
嗎,,,moe_dict,ambiguous_polyphone,ma(˙ㄇㄚ)=5|mǎ(ㄇㄚˇ)=3,2,"3,5"
嚇,,4,moe_dict,verified_tone_only,hè(ㄏㄜˋ)=4|xià(ㄒㄧㄚˋ)=4,2,4
四,sì,4,moe_dict,verified,sì(ㄙˋ)=4,1,4
回,huí,2,moe_dict,verified,huí(ㄏㄨㄟˊ)=2,1,2
因,yīn,1,moe_dict,verified,yīn(ㄧㄣ)=1,1,1
國,guó,2,moe_dict,verified,guó(ㄍㄨㄛˊ)=2,1,2
