trial_id,human_usability_judgment,failure_reason,human_note
A001,ACCEPT,,""
A002,REJECT,LOW_AUDIO_QUALITY,"LOW_AUDIO_QUALITY"
A003,ACCEPT,,"TOO_SHORT_OR_INCOMPLETE"
A004,ACCEPT,,""
A005,ACCEPT,,""
A006,ACCEPT,,""
A007,ACCEPT,,""
A008,ACCEPT,,""
A009,REJECT,LOW_AUDIO_QUALITY,"LOW_AUDIO_QUALITY"
A010,ACCEPT,,""
A012,ACCEPT,,""
A013,REJECT,LOW_AUDIO_QUALITY,"LOW_AUDIO_QUALITY"
A014,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A015,ACCEPT,,""
A016,REJECT,LOW_AUDIO_QUALITY,""
A017,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A018,ACCEPT,,""
A019,ACCEPT,,""
A020,ACCEPT,,""
A021,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A022,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A023,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A024,ACCEPT,,""
A025,ACCEPT,,""
A026,ACCEPT,,""
A027,ACCEPT,,""
A028,ACCEPT,,""
A029,REJECT,LOW_AUDIO_QUALITY,""
A030,ACCEPT,,""
A031,ACCEPT,,""
A032,ACCEPT,,""
A033,REJECT,TOO_SHORT_OR_INCOMPLETE,""
A034,ACCEPT,,""
A035,REJECT,LOW_AUDIO_QUALITY,""
A036,ACCEPT,,""
A037,ACCEPT,,""
A038,ACCEPT,,""
A039,ACCEPT,,""
A040,ACCEPT,,""
A041,REJECT,LOW_AUDIO_QUALITY,""
A042,ACCEPT,,""
A043,ACCEPT,,""
A044,ACCEPT,,""
A045,ACCEPT,,""
A046,REJECT,LOW_AUDIO_QUALITY,""
A047,ACCEPT,,""
A048,ACCEPT,,""
