trial_id,human_usability_judgment,human_note
B001,ACCEPT,""
B002,ACCEPT,""
B003,REJECT,""
B004,ACCEPT,""
B005,ACCEPT,""
B006,ACCEPT,""
B007,REJECT,""
B008,ACCEPT,""
B009,ACCEPT,""
B010,ACCEPT,""
B011,ACCEPT,""
B012,ACCEPT,""
B013,ACCEPT,""
B014,REJECT,""
B015,ACCEPT,""
B016,ACCEPT,""
B017,REJECT,""
B018,ACCEPT,""
B019,ACCEPT,""
B020,ACCEPT,""
B021,ACCEPT,""
B022,ACCEPT,""
B023,ACCEPT,""
B024,ACCEPT,""
B025,REJECT,""
B026,ACCEPT,""
B027,ACCEPT,""
B028,ACCEPT,""
B029,ACCEPT,""
B030,ACCEPT,""
B031,ACCEPT,""
B032,ACCEPT,""
B033,ACCEPT,""
B034,ACCEPT,""
B035,ACCEPT,""
B036,ACCEPT,""
B037,ACCEPT,""
B038,ACCEPT,""
B039,ACCEPT,""
B040,ACCEPT,""
B041,ACCEPT,""
B042,ACCEPT,""
B043,ACCEPT,""
B044,ACCEPT,""
B045,ACCEPT,""
B046,ACCEPT,""
B047,ACCEPT,""
B048,ACCEPT,""
B049,ACCEPT,""
B050,ACCEPT,""
