trial_id,human_usability_judgment,human_note
Q001,ACCEPT,""
Q002,ACCEPT,""
Q003,REJECT,""
Q004,ACCEPT,""
Q005,ACCEPT,""
Q006,ACCEPT,""
Q007,ACCEPT,""
Q008,ACCEPT,""
Q009,ACCEPT,""
Q010,ACCEPT,""
Q011,ACCEPT,""
Q012,ACCEPT,""
Q013,ACCEPT,""
Q014,ACCEPT,""
Q015,ACCEPT,""
Q016,ACCEPT,""
Q017,ACCEPT,""
Q018,ACCEPT,""
Q019,REJECT,""
Q020,REJECT,""
Q021,ACCEPT,""
Q022,ACCEPT,""
Q023,ACCEPT,""
Q024,ACCEPT,""
Q025,REJECT,""
Q026,REJECT,""
Q027,ACCEPT,""
Q028,ACCEPT,""
Q029,ACCEPT,""
Q030,ACCEPT,""
Q031,ACCEPT,""
Q032,ACCEPT,""
Q033,ACCEPT,""
Q034,ACCEPT,""
Q035,REJECT,""
Q036,REJECT,""
Q037,ACCEPT,""
Q038,ACCEPT,""
Q039,ACCEPT,""
Q040,ACCEPT,""
Q041,ACCEPT,""
Q042,ACCEPT,""
Q043,ACCEPT,""
Q044,REJECT,""
Q045,ACCEPT,""
Q046,ACCEPT,""
Q047,ACCEPT,""
Q048,ACCEPT,""
Q049,ACCEPT,""
Q050,ACCEPT,""
Q051,ACCEPT,""
Q052,ACCEPT,""
Q053,ACCEPT,""
Q054,ACCEPT,""
Q055,ACCEPT,""
Q056,ACCEPT,""
Q057,ACCEPT,""
Q058,ACCEPT,""
Q059,ACCEPT,""
Q060,ACCEPT,""
Q061,ACCEPT,""
Q062,ACCEPT,""
Q063,ACCEPT,""
Q064,ACCEPT,""
Q065,ACCEPT,""
Q066,ACCEPT,""
Q067,ACCEPT,""
Q068,ACCEPT,""
Q069,REJECT,""
Q070,ACCEPT,""
Q071,ACCEPT,""
Q072,ACCEPT,""
Q073,ACCEPT,""
Q074,REJECT,""
Q075,ACCEPT,""
Q076,ACCEPT,""
Q077,ACCEPT,""
Q078,ACCEPT,""
Q079,ACCEPT,""
Q080,ACCEPT,""
Q081,ACCEPT,""
Q082,ACCEPT,""
Q083,ACCEPT,""
Q084,ACCEPT,""
Q085,ACCEPT,""
Q086,ACCEPT,""
Q087,ACCEPT,""
Q088,REJECT,""
Q089,ACCEPT,""
Q090,ACCEPT,""
Q091,REJECT,""
Q092,ACCEPT,""
Q093,ACCEPT,""
Q094,ACCEPT,""
Q095,ACCEPT,""
Q096,ACCEPT,""
Q097,ACCEPT,""
Q098,ACCEPT,""
Q099,ACCEPT,""
Q100,ACCEPT,""
Q101,ACCEPT,""
Q102,ACCEPT,""
Q103,ACCEPT,""
Q104,ACCEPT,""
Q105,ACCEPT,""
Q106,ACCEPT,""
Q107,ACCEPT,""
Q108,REJECT,""
Q109,ACCEPT,""
Q110,ACCEPT,""
Q111,ACCEPT,""
Q112,ACCEPT,""
Q113,REJECT,""
Q114,ACCEPT,""
Q115,ACCEPT,""
Q116,ACCEPT,""
Q117,ACCEPT,""
Q118,REJECT,""
Q119,ACCEPT,""
Q120,ACCEPT,""
Q121,ACCEPT,""
Q122,ACCEPT,""
Q123,ACCEPT,""
Q124,REJECT,""
Q125,ACCEPT,""
Q126,ACCEPT,""
Q127,ACCEPT,""
Q128,ACCEPT,""
Q129,ACCEPT,""
Q130,ACCEPT,""
Q131,ACCEPT,""
Q132,REJECT,""
Q133,ACCEPT,""
Q134,ACCEPT,""
Q135,ACCEPT,""
Q136,ACCEPT,""
Q137,ACCEPT,""
Q138,ACCEPT,""
Q139,ACCEPT,""
Q140,ACCEPT,""
Q141,ACCEPT,""
Q142,ACCEPT,""
Q143,ACCEPT,""
Q144,ACCEPT,""
Q145,ACCEPT,""
Q146,ACCEPT,""
Q147,ACCEPT,""
Q148,ACCEPT,""
Q149,ACCEPT,""
Q150,ACCEPT,""
Q151,ACCEPT,""
Q152,ACCEPT,""
Q153,ACCEPT,""
Q154,ACCEPT,""
Q155,ACCEPT,""
Q156,ACCEPT,""
Q157,REJECT,""
Q158,ACCEPT,""
Q159,ACCEPT,""
Q160,ACCEPT,""
Q161,ACCEPT,""
Q162,REJECT,""
Q163,ACCEPT,""
Q164,ACCEPT,""
Q165,ACCEPT,""
Q166,REJECT,""
Q167,ACCEPT,""
Q168,REJECT,""
Q169,ACCEPT,""
Q170,ACCEPT,""
Q171,ACCEPT,""
Q172,ACCEPT,""
Q173,ACCEPT,""
Q174,ACCEPT,""
Q175,ACCEPT,""
Q176,REJECT,""
