trial_id,human_usability_judgment,human_note
C001,ACCEPT,""
C002,REJECT,""
C003,ACCEPT,""
C004,ACCEPT,""
C005,REJECT,""
C006,REJECT,""
C007,ACCEPT,""
C008,ACCEPT,""
C009,ACCEPT,""
C010,ACCEPT,""
C011,ACCEPT,""
C012,ACCEPT,""
C013,ACCEPT,""
C014,REJECT,""
C015,ACCEPT,""
C016,REJECT,""
C017,ACCEPT,""
C018,ACCEPT,""
C019,ACCEPT,""
C020,REJECT,""
C021,ACCEPT,""
C022,ACCEPT,""
C023,ACCEPT,""
C024,REJECT,""
C025,ACCEPT,""
C026,REJECT,""
C027,ACCEPT,""
C028,ACCEPT,""
C029,REJECT,""
C030,REJECT,""
C031,ACCEPT,""
C032,ACCEPT,""
C033,ACCEPT,""
C034,REJECT,""
C035,ACCEPT,""
C036,ACCEPT,""
C037,REJECT,""
C038,ACCEPT,""
C039,ACCEPT,""
C040,ACCEPT,""
C041,ACCEPT,""
C042,ACCEPT,""
C043,ACCEPT,""
C044,REJECT,""
C045,ACCEPT,""
C046,ACCEPT,""
C047,ACCEPT,""
C048,REJECT,""
C049,ACCEPT,""
C050,ACCEPT,""
C051,ACCEPT,""
C052,ACCEPT,""
C053,ACCEPT,""
C054,ACCEPT,""
C055,REJECT,""
C056,ACCEPT,""
C057,ACCEPT,""
C058,ACCEPT,""
C059,ACCEPT,""
C060,ACCEPT,""
C061,ACCEPT,""
C062,ACCEPT,""
C063,REJECT,""
C064,ACCEPT,""
C065,ACCEPT,""
C066,ACCEPT,""
C067,ACCEPT,""
C068,ACCEPT,""
C069,ACCEPT,""
C070,ACCEPT,""
C071,ACCEPT,""
C072,ACCEPT,""
C073,ACCEPT,""
C074,ACCEPT,""
C075,ACCEPT,""
C076,ACCEPT,""
C077,ACCEPT,""
C078,REJECT,""
C079,ACCEPT,""
C080,ACCEPT,""
C081,ACCEPT,""
C082,ACCEPT,""
C083,ACCEPT,""
C084,ACCEPT,""
C085,ACCEPT,""
C086,REJECT,""
C087,ACCEPT,""
C088,ACCEPT,""
C089,ACCEPT,""
C090,ACCEPT,""
C091,ACCEPT,""
C092,REJECT,""
C093,ACCEPT,""
C094,ACCEPT,""
C095,ACCEPT,""
C096,REJECT,""
C097,ACCEPT,""
C098,ACCEPT,""
C099,ACCEPT,""
C100,ACCEPT,""
C101,REJECT,""
C102,ACCEPT,""
C103,ACCEPT,""
C104,ACCEPT,""
C105,ACCEPT,""
C106,REJECT,""
C107,ACCEPT,""
C108,ACCEPT,""
C109,REJECT,""
C110,ACCEPT,""
C111,ACCEPT,""
C112,ACCEPT,""
C113,ACCEPT,""
C114,REJECT,""
C115,ACCEPT,""
C116,REJECT,""
C117,ACCEPT,""
C118,ACCEPT,""
C119,ACCEPT,""
C120,REJECT,""
C121,ACCEPT,""
C122,ACCEPT,""
C123,ACCEPT,""
C124,ACCEPT,""
C125,ACCEPT,""
C126,ACCEPT,""
C127,REJECT,""
C128,ACCEPT,""
C129,ACCEPT,""
C130,ACCEPT,""
C131,ACCEPT,""
C132,ACCEPT,""
C133,ACCEPT,""
C134,ACCEPT,""
C135,REJECT,""
C136,ACCEPT,""
C137,ACCEPT,""
C138,ACCEPT,""
C139,ACCEPT,""
C140,ACCEPT,""
C141,ACCEPT,""
C142,ACCEPT,""
C143,ACCEPT,""
C144,ACCEPT,""
