model,pooling,class_weight,C,n_features,pr_auc_incorrect,roc_auc,balanced_accuracy,macro_f1,incorrect_precision,incorrect_recall,incorrect_f1,accuracy,false_rejection_rate,false_acceptance_rate,threshold
MODEL_A_wav2vec2,mean,None,0.01,772,0.18256599414630137,0.4881171263193735,0.5131086142322098,0.1741960939041231,0.1746031746031746,1.0,0.2972972972972973,0.19254658385093168,0.9737827715355806,0.0,0.0412
MODEL_A_wav2vec2,mean,None,0.1,772,0.1821109227997786,0.49710589036431735,0.5243445692883895,0.19752747252747252,0.1779935275080906,1.0,0.3021978021978022,0.2111801242236025,0.951310861423221,0.0,0.0213
MODEL_A_wav2vec2,mean,None,1.0,772,0.1753301601320661,0.5028260129383725,0.5476676881171263,0.3644098285736511,0.18907563025210083,0.8181818181818182,0.30716723549488056,0.3695652173913043,0.7228464419475655,0.18181818181818177,0.0353
MODEL_A_wav2vec2,mean,None,10.0,772,0.19600839712249804,0.53210759278175,0.5578140960163431,0.33773645027664323,0.19140625,0.8909090909090909,0.31511254019292606,0.3385093167701863,0.7752808988764045,0.10909090909090913,0.0064
MODEL_A_wav2vec2,mean,balanced,0.01,772,0.18970815768920538,0.48995573714674834,0.5187265917602997,0.18596484325047463,0.1762820512820513,1.0,0.2997275204359673,0.20186335403726707,0.9625468164794008,0.0,0.1522
MODEL_A_wav2vec2,mean,balanced,0.1,772,0.17349922461380554,0.5065713312904325,0.5308137555328567,0.33906510204872004,0.18218623481781376,0.8181818181818182,0.2980132450331126,0.3416149068322981,0.7565543071161048,0.18181818181818177,0.176
MODEL_A_wav2vec2,mean,balanced,1.0,772,0.17802336351623324,0.5065713312904324,0.5436499829758257,0.34815919723371075,0.18699186991869918,0.8363636363636363,0.30564784053156147,0.35093167701863354,0.7490636704119851,0.1636363636363637,0.0751
MODEL_A_wav2vec2,mean,balanced,10.0,772,0.19727132777890583,0.5276132107592781,0.5613210759278175,0.40288025251528903,0.1963470319634703,0.7818181818181819,0.31386861313868614,0.4161490683229814,0.6591760299625468,0.21818181818181814,0.0247
MODEL_A_wav2vec2,temporal3,None,0.01,2308,0.185750447450769,0.4843037112700034,0.5168539325842697,0.18206521739130435,0.1757188498402556,1.0,0.29891304347826086,0.19875776397515527,0.9662921348314607,0.0,0.0285
MODEL_A_wav2vec2,temporal3,None,0.1,2308,0.18175628187794185,0.46258086482805577,0.5115083418454205,0.18737172877694308,0.17419354838709677,0.9818181818181818,0.2958904109589041,0.20186335403726707,0.9588014981273408,0.018181818181818188,0.0063
MODEL_A_wav2vec2,temporal3,None,1.0,2308,0.15730734269001995,0.4408580183861083,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_A_wav2vec2,temporal3,None,10.0,2308,0.14920153899928126,0.4410623084780388,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_A_wav2vec2,temporal3,balanced,0.01,2308,0.18740567819753004,0.48621041879468846,0.5155260469867211,0.21117715378834462,0.17549668874172186,0.9636363636363636,0.2969187675070028,0.2204968944099379,0.9325842696629213,0.036363636363636376,0.1213
