token_id,speaker_id,expected_tone,tone_correctness,incorrect_probability,nested_threshold,predicted_incorrect
00200214_00,02002,3,1,0.003658773967288613,0.6100000000000001,0
00200214_01,02002,1,1,0.18535846471633213,0.6100000000000001,0
00200214_03,02002,2,1,0.40266576573161045,0.6100000000000001,0
00200214_04,02002,4,1,0.5521474120607365,0.6100000000000001,0
00200214_06,02002,4,1,0.6216808642514975,0.6100000000000001,1
00200214_07,02002,1,1,0.413063831987238,0.6100000000000001,0
00200214_08,02002,1,1,0.2940594517262751,0.6100000000000001,0
00200217_01,02002,4,0,0.4689642003354461,0.6100000000000001,0
00200217_03,02002,2,1,0.2353219198170082,0.6100000000000001,0
00200220_00,02002,3,1,0.375410638256267,0.6100000000000001,0
00200220_01,02002,1,1,0.2710617145696462,0.6100000000000001,0
00200220_03,02002,1,0,0.86127575497977,0.6100000000000001,1
00200220_05,02002,3,1,0.33924048192159006,0.6100000000000001,0
00200220_06,02002,1,1,0.32754853045730725,0.6100000000000001,0
00200220_08,02002,3,1,0.13619316428028072,0.6100000000000001,0
00200220_13,02002,1,0,0.437034532943886,0.6100000000000001,0
00200220_15,02002,2,1,0.6461671079971154,0.6100000000000001,1
00200314_00,02003,3,1,0.4035731776929804,0.49000000000000005,0
00200314_01,02003,1,1,0.43390367575219496,0.49000000000000005,0
00200314_03,02003,2,1,0.25361461367920796,0.49000000000000005,0
00200314_04,02003,4,1,0.45369797103123816,0.49000000000000005,0
00200314_06,02003,4,1,0.4612586452453657,0.49000000000000005,0
00200314_07,02003,1,1,0.4506269493265451,0.49000000000000005,0
00200314_08,02003,1,1,0.3349191026878955,0.49000000000000005,0
00200317_01,02003,4,1,0.4716046024791912,0.49000000000000005,0
00200317_03,02003,2,0,0.37854102535446166,0.49000000000000005,0
00200320_00,02003,3,1,0.5697384021542213,0.49000000000000005,1
00200320_01,02003,1,1,0.42561376639096066,0.49000000000000005,0
00200320_03,02003,1,1,0.4502268140748166,0.49000000000000005,0
00200320_05,02003,3,1,0.34330354637716726,0.49000000000000005,0
00200320_06,02003,1,1,0.46148353034687656,0.49000000000000005,0
00200320_08,02003,3,1,0.6542166374517998,0.49000000000000005,1
00200320_13,02003,1,1,0.4392900610501034,0.49000000000000005,0
00200320_15,02003,2,1,0.12785936120337094,0.49000000000000005,0
00200514_00,02005,3,0,0.4801357829395909,0.53,0
00200514_01,02005,1,0,0.9194940489256802,0.53,1
00200514_03,02005,2,0,0.5479455337735955,0.53,1
00200514_04,02005,4,1,0.4994076179899822,0.53,0
00200514_06,02005,4,1,0.43884134121362417,0.53,0
00200514_07,02005,1,1,0.5063071545898556,0.53,0
00200514_08,02005,1,1,0.5052516889533982,0.53,0
00200517_01,02005,4,1,0.5051705778053784,0.53,0
00200517_03,02005,2,0,0.4727850528145961,0.53,0
00200520_00,02005,3,1,0.513653661883661,0.53,0
00200520_01,02005,1,1,0.5224182389974814,0.53,0
00200520_03,02005,1,1,0.5044611496093709,0.53,0
00200520_05,02005,3,0,0.5420230312990028,0.53,1
00200520_06,02005,1,1,0.5058516985930642,0.53,0
00200520_08,02005,3,0,0.4858772101180026,0.53,0
00200520_13,02005,1,1,0.5071563190139886,0.53,0
00200520_15,02005,2,1,0.10319872321033012,0.53,0
00200614_00,02006,3,0,0.40653113603673585,0.49000000000000005,0
00200614_01,02006,1,0,0.5347451256478615,0.49000000000000005,1
00200614_03,02006,2,1,1.237724594566723e-05,0.49000000000000005,0
00200614_04,02006,4,1,0.347810400866423,0.49000000000000005,0
00200614_06,02006,4,1,0.20434271859985836,0.49000000000000005,0
00200614_07,02006,1,0,0.5719471023309539,0.49000000000000005,1
00200614_08,02006,1,1,0.3905799922715342,0.49000000000000005,0
00200617_01,02006,4,1,0.32335049665641585,0.49000000000000005,0
00200617_03,02006,2,0,0.5173800180710769,0.49000000000000005,1
00200620_00,02006,3,1,0.35137509005081735,0.49000000000000005,0
00200620_01,02006,1,0,0.11577379484158062,0.49000000000000005,0
00200620_03,02006,1,1,0.5735063948758271,0.49000000000000005,1
00200620_05,02006,3,0,0.5663092675002378,0.49000000000000005,1
00200620_06,02006,1,0,0.42877866119054986,0.49000000000000005,0
00200620_08,02006,3,0,0.8123028553132032,0.49000000000000005,1
00200620_13,02006,1,1,0.5748217950848952,0.49000000000000005,1
00200620_15,02006,2,0,0.33438924137028475,0.49000000000000005,0
00200714_00,02007,3,1,0.1005414059097061,0.6100000000000001,0
00200714_01,02007,1,1,0.3880733543197924,0.6100000000000001,0
00200714_03,02007,2,1,0.9999999980953591,0.6100000000000001,1
00200714_04,02007,4,1,0.4555721493622947,0.6100000000000001,0
00200714_06,02007,4,1,0.45728457360510255,0.6100000000000001,0
00200714_07,02007,1,1,0.35902765199902287,0.6100000000000001,0
00200714_08,02007,1,1,0.49404173501521687,0.6100000000000001,0
00200717_01,02007,4,1,0.48326710993117716,0.6100000000000001,0
00200717_03,02007,2,1,0.6931067365329706,0.6100000000000001,1
00200720_00,02007,3,1,0.2949978310980025,0.6100000000000001,0
00200720_01,02007,1,1,0.6228153092643604,0.6100000000000001,1
00200720_03,02007,1,0,0.4704784945693599,0.6100000000000001,0
00200720_05,02007,3,1,0.003397072479970561,0.6100000000000001,0
00200720_06,02007,1,1,0.4632936725440076,0.6100000000000001,0
00200720_08,02007,3,1,5.336074379940283e-12,0.6100000000000001,0
00200720_13,02007,1,1,0.44852692502010816,0.6100000000000001,0
00200720_15,02007,2,1,0.9999999999999998,0.6100000000000001,1
00200914_00,02009,3,1,0.5261386537511789,0.49000000000000005,1
00200914_01,02009,1,1,0.4391916060578121,0.49000000000000005,0
00200914_03,02009,2,1,0.489896927286379,0.49000000000000005,0
00200914_04,02009,4,1,0.4328249373821198,0.49000000000000005,0
00200914_06,02009,4,1,0.5275886044507957,0.49000000000000005,1
00200914_07,02009,1,1,0.35537333213328626,0.49000000000000005,0
00200914_08,02009,1,1,0.49108966979968827,0.49000000000000005,1
00200917_01,02009,4,1,0.5457202826580541,0.49000000000000005,1
00200917_03,02009,2,1,0.5430518594382202,0.49000000000000005,1
00200920_00,02009,3,1,0.6135962778321967,0.49000000000000005,1
