trial_id,human_boundary_judgment,human_note
P001,GOOD,""
P002,GOOD,""
P003,GOOD,""
P004,QUESTIONABLE,""
P005,GOOD,""
P006,GOOD,""
P007,GOOD,""
P008,GOOD,""
P009,GOOD,""
P010,WRONG,""
P011,GOOD,""
P012,GOOD,""
P013,GOOD,""
P014,GOOD,""
P015,GOOD,""
P016,GOOD,""
P017,GOOD,""
P018,GOOD,""
P019,GOOD,""
P020,WRONG,""
P021,GOOD,""
P022,GOOD,""
P023,GOOD,""
P024,GOOD,""
P025,GOOD,""
P026,GOOD,""
P027,QUESTIONABLE,""
P028,GOOD,""
P029,GOOD,""
P030,GOOD,""
P031,GOOD,""
P032,GOOD,""
P033,QUESTIONABLE,""
P034,GOOD,""
P035,GOOD,""
P036,GOOD,""
P037,GOOD,""
P038,GOOD,""
P039,GOOD,""
P040,GOOD,""
P041,GOOD,""
P042,GOOD,""
P043,GOOD,""
P044,GOOD,""
P045,GOOD,""
P046,GOOD,""
P047,GOOD,""
P048,GOOD,""
P049,GOOD,""
P050,GOOD,""
P051,GOOD,""
P052,GOOD,""
P053,GOOD,""
P054,WRONG,""
P055,GOOD,""
P056,GOOD,""
P057,GOOD,""
P058,GOOD,""
P059,GOOD,""
P060,GOOD,""
P061,GOOD,""
P062,GOOD,""
P063,GOOD,""
P064,GOOD,""
P065,GOOD,""
P066,GOOD,""
P067,GOOD,""
P068,GOOD,""
P069,GOOD,""
P070,GOOD,""
P071,QUESTIONABLE,""
P072,GOOD,""
P073,GOOD,""
P074,GOOD,""
P075,GOOD,""
P076,GOOD,""
P077,GOOD,""
P078,GOOD,""
P079,GOOD,""
P080,GOOD,""
P081,GOOD,""
P082,GOOD,""
P083,GOOD,""
P084,GOOD,""
P085,GOOD,""
P086,GOOD,""
P087,GOOD,""
P088,GOOD,""
P089,GOOD,""
P090,GOOD,""
P091,GOOD,""
P092,GOOD,""
P093,GOOD,""
P094,GOOD,""
P095,GOOD,""
P096,GOOD,""
P097,GOOD,""
P098,GOOD,""
P099,GOOD,""
P100,GOOD,""
P101,GOOD,""
P102,GOOD,""
P103,GOOD,""
P104,GOOD,""
P105,GOOD,""
P106,GOOD,""
P107,GOOD,""
P108,GOOD,""
P109,GOOD,""
P110,GOOD,""
P111,GOOD,""
P112,GOOD,""
P113,GOOD,""
P114,GOOD,""
P115,QUESTIONABLE,""
P116,GOOD,""
P117,GOOD,""
P118,GOOD,""
P119,GOOD,""
P120,GOOD,""
P121,GOOD,""
P122,GOOD,""
P123,GOOD,""
P124,QUESTIONABLE,""
P125,QUESTIONABLE,""
P126,GOOD,""
P127,WRONG,""
P128,GOOD,""
P129,GOOD,""
P130,GOOD,""
P131,GOOD,""
P132,GOOD,""
P133,GOOD,""
P134,GOOD,""
P135,GOOD,""
P136,GOOD,""
P137,GOOD,""
P138,GOOD,""
P139,GOOD,""
P140,GOOD,""
P141,GOOD,""
P142,GOOD,""
P143,GOOD,""
P144,GOOD,""
P145,GOOD,""
P146,GOOD,""
P147,GOOD,""
P148,GOOD,""
P149,GOOD,""
P150,GOOD,""
P151,GOOD,""
P152,GOOD,""
P153,GOOD,""
P154,GOOD,""
P155,GOOD,""
P156,GOOD,""
P157,GOOD,""
P158,GOOD,""
P159,QUESTIONABLE,""
P160,GOOD,""
P161,GOOD,""
P162,GOOD,""
P163,GOOD,""
P164,GOOD,""
P165,QUESTIONABLE,""
P166,GOOD,""
P167,QUESTIONABLE,""
P168,GOOD,""
P169,GOOD,""
P170,GOOD,""
P171,GOOD,""
P172,GOOD,""
P173,GOOD,""
P174,GOOD,""
P175,GOOD,""
P176,GOOD,""
