feature,train_auc,train_d,dev_auc,dev_d,train_direction,dev_direction,replicates
rel_f0_start,0.46202003655419804,-0.0602609710880503,0.44811987560079164,-0.22190563168479097,lower->incorrect,lower->incorrect,True
rel_f0_25,0.4566734163007455,-0.1110812638558097,0.4233107152954481,-0.3104045276848509,lower->incorrect,lower->incorrect,True
rel_f0_50,0.46320880637650824,-0.09855529299969784,0.4683700876448968,-0.29657479684747373,lower->incorrect,lower->incorrect,True
rel_f0_75,0.5426592041498873,0.03905326646849576,0.5728724908114221,0.17136974911804465,higher->incorrect,higher->incorrect,True
rel_f0_end,0.5415652325590213,0.18732108335687278,0.5719536330223353,0.2505530232491297,higher->incorrect,higher->incorrect,True
f0_range_st,0.5459619745334031,0.16458340946498545,0.42295730845349166,-0.15788714423602945,higher->incorrect,lower->incorrect,False
slope_start_to_mid,0.5179168657429527,0.04561420525042732,0.5590896239751202,0.13931649918303157,higher->incorrect,higher->incorrect,True
slope_mid_to_end,0.5393204104384228,0.124946526366162,0.5824851569126378,0.40876620444981043,higher->incorrect,higher->incorrect,True
duration_seconds,0.5022711090377864,0.04922981063744683,0.4870616275110657,-0.03994974843314687,higher->incorrect,lower->incorrect,False
voiced_proportion,0.51919795221843,0.07467509142888204,0.509469696969697,0.009827809219097487,higher->incorrect,higher->incorrect,False
