model,class_weight,C,pr_auc_incorrect,roc_auc,balanced_accuracy,macro_f1,incorrect_precision,incorrect_recall,incorrect_f1,accuracy,false_rejection_rate,false_acceptance_rate,brier,prevalence,fold_pr_auc_mean,fold_pr_auc_sd,fold_roc_mean,n_folds_scored
P0,None,0.01,0.13992505854464818,0.3729845003384742,0.5008067259902562,0.4574047213968184,0.25,0.004149377593360996,0.00816326530612245,0.8293539325842697,0.00253592561284869,0.995850622406639,0.14548416347331863,0.16924157303370788,0.18531519656775117,0.07508381771145146,0.48577343553594765,5
P0,None,0.1,0.1427823459600502,0.386449809367141,0.5024587605181285,0.46138436322373677,0.3333333333333333,0.008298755186721992,0.016194331983805668,0.8293539325842697,0.0033812341504649195,0.991701244813278,0.1475780170240289,0.16924157303370788,0.18187981429615924,0.05302405505537883,0.47839270987227733,5
P0,None,1.0,0.14355156540839403,0.39023791401703944,0.5041107950460009,0.46529944325203854,0.375,0.012448132780082987,0.024096385542168676,0.8293539325842697,0.00422654268808115,0.9875518672199171,0.14861885276412795,0.16924157303370788,0.18057915660172266,0.052142202234879094,0.47553393492641893,5
P0,None,10.0,0.14373646632447268,0.39081665222744055,0.5041107950460009,0.46529944325203854,0.375,0.012448132780082987,0.024096385542168676,0.8293539325842697,0.00422654268808115,0.9875518672199171,0.1488180529588345,0.16924157303370788,0.18013871472686638,0.052417980626940426,0.47484695793733145,5
P0,balanced,0.01,0.17479451631200088,0.4627029529678748,0.5142439749844793,0.5053881358338885,0.18449197860962566,0.2863070539419087,0.22439024390243903,0.6650280898876404,0.2578191039729501,0.7136929460580913,0.24921947103450157,0.16924157303370788,0.18697784002378323,0.06246992617397992,0.4827260999950026,5
P0,balanced,0.1,0.17426745304116006,0.4640428196125611,0.514857788237935,0.5021017397598433,0.18382352941176472,0.3112033195020747,0.23112480739599384,0.6495786516853933,0.28148774302620455,0.6887966804979253,0.25061361523670167,0.16924157303370788,0.18318070599991446,0.05303598594979464,0.48294219690579043,5
P0,balanced,1.0,0.17159689025923694,0.46317295854480656,0.5134354952420704,0.4976189697821657,0.18160919540229886,0.3278008298755187,0.23372781065088757,0.6362359550561798,0.30092983939137785,0.6721991701244814,0.2515883005178108,0.16924157303370788,0.18182214581547487,0.05411000631813039,0.4804188364221549,5
P0,balanced,10.0,0.1714076692821881,0.4628853431917588,0.5092475351013493,0.4938571738658563,0.1776765375854214,0.3236514522821577,0.22941176470588234,0.6320224719101124,0.305156382079459,0.6763485477178424,0.2517453420390783,0.16924157303370788,0.1814909409104319,0.05478270121030856,0.48013104083678176,5
P1,None,0.01,0.15840630956337476,0.44295219622382087,0.5016520345278724,0.4578580286407115,0.5,0.004149377593360996,0.00823045267489712,0.8307584269662921,0.0008453085376162299,0.995850622406639,0.14417693967453393,0.16924157303370788,0.21350664228506563,0.10060002112016873,0.5526464277552317,5
P1,None,0.1,0.19661301949761026,0.5176164403741805,0.5036495582298327,0.4677854938271605,0.26666666666666666,0.016597510373443983,0.03125,0.8258426966292135,0.009298393913778529,0.983402489626556,0.14443812023082395,0.16924157303370788,0.2315739403682488,0.11389588170097392,0.5775321512031149,5
P1,None,1.0,0.2200347501974236,0.5512744516893895,0.513177693675619,0.486831750888057,0.4090909090909091,0.03734439834024896,0.06844106463878327,0.8279494382022472,0.01098901098901099,0.9626556016597511,0.14488810301469324,0.16924157303370788,0.24694053050700998,0.11244544517536925,0.5971918809845614,5
P1,None,10.0,0.2246292813088427,0.5554694268387215,0.5164431801840037,0.49560652939293715,0.375,0.04979253112033195,0.08791208791208792,0.8251404494382022,0.0169061707523246,0.950207468879668,0.1466315594652194,0.16924157303370788,0.2476350769253431,0.1140743368085154,0.5978878142721619,5
P1,balanced,0.01,0.22056994947474778,0.5560236125189844,0.5644205778262593,0.5425144570571857,0.23325062034739455,0.3900414937759336,0.2919254658385093,0.6797752808988764,0.26120033812341503,0.6099585062240664,0.2421465809140538,0.16924157303370788,0.22018638096267584,0.10454151203932933,0.5657912818051035,5
P1,balanced,0.1,0.23937318726055884,0.5806357702304079,0.5612690852078022,0.5339300561689255,0.225,0.4107883817427386,0.2907488986784141,0.660814606741573,0.2882502113271344,0.5892116182572614,0.23839171029930056,0.16924157303370788,0.23817618588488063,0.1129454277140925,0.5901391135221122,5
P1,balanced,1.0,0.24797624361789108,0.5884469823186708,0.5614216616450897,0.5268708484584735,0.2203742203742204,0.43983402489626555,0.29362880886426596,0.6418539325842697,0.3169907016060862,0.5601659751037344,0.23641465178274557,0.16924157303370788,0.24912671179391896,0.11125229032085773,0.6016529176005154,5
P1,balanced,10.0,0.2495480430165665,0.5857918015594364,0.5658393633178185,0.525468524900809,0.22134387351778656,0.46473029045643155,0.2998661311914324,0.6327247191011236,0.3330515638207946,0.5352697095435685,0.23590543871624778,0.16924157303370788,0.24968246602088406,0.10682925901459414,0.6019955233136158,5
P2,None,0.01,0.19647457176397656,0.49619611158072696,0.5058014121212334,0.4663363309211506,0.75,0.012448132780082987,0.024489795918367346,0.8321629213483146,0.0008453085376162299,0.9875518672199171,0.1415254670537107,0.16924157303370788,0.31011754867205427,0.12941566802091609,0.6177858408121089,20
P2,None,0.1,0.22619775697874475,0.5527160359589341,0.5099122071672343,0.4772799622259285,0.5,0.024896265560165973,0.04743083003952569,0.8307584269662921,0.00507185122569738,0.975103734439834,0.14183621806218394,0.16924157303370788,0.2996978050789824,0.11652376964308926,0.6087725147898908,20
P2,None,1.0,0.23981664259988628,0.5628351858801908,0.5169044170001719,0.494103189810312,0.44,0.04564315352697095,0.08270676691729323,0.8286516853932584,0.011834319526627219,0.9543568464730291,0.14267203573120268,0.16924157303370788,0.29848887119749523,0.1103103069316253,0.5973458607215875,20
P2,None,10.0,0.24340746278404501,0.5715408115663462,0.5230899008428533,0.5069356605306858,0.4411764705882353,0.06224066390041494,0.10909090909090909,0.8279494382022472,0.016060862214708368,0.9377593360995851,0.14368320278055952,0.16924157303370788,0.2978250983309644,0.1031503635922813,0.5992643785239836,20
P2,balanced,0.01,0.27136439984710015,0.6092043927983921,0.5961547230299226,0.5585205719776485,0.25442477876106195,0.47717842323651455,0.3318903318903319,0.6748595505617978,0.2848689771766695,0.5228215767634854,0.23938471034469416,0.16924157303370788,0.31021976841943866,0.12346481758809422,0.621230452032457,20
P2,balanced,0.1,0.26281388450482335,0.5993342756828234,0.5855497837623596,0.5444017854355901,0.2401656314699793,0.48132780082987553,0.32044198895027626,0.6544943820224719,0.31022823330515636,0.5186721991701244,0.2338782834493045,0.16924157303370788,0.30291124277431364,0.1071496353507735,0.6175099552335422,20
P2,balanced,1.0,0.269386621480458,0.597591046043009,0.5712952862649638,0.5307861941638032,0.22645290581162325,0.46887966804979253,0.3054054054054054,0.6390449438202247,0.32628909551986474,0.5311203319502075,0.23121284324008717,0.16924157303370788,0.30488861418950947,0.10709594810745474,0.6129481810939295,20
P2,balanced,10.0,0.2705139646185638,0.6013791506929075,0.5745221902259885,0.5300009104980424,0.22718446601941747,0.4854771784232365,0.30952380952380953,0.6334269662921348,0.3364327979712595,0.5145228215767634,0.23152203278101266,0.16924157303370788,0.3068934906636415,0.10814074934182842,0.6136624781411232,20
