t_accept,t_incorrect,t2_safe,n,n_acceptable,n_uncertain,n_incorrect,coverage,abstention_rate,acceptable_precision,accepted_correct,accepted_incorrect,incorrect_precision,flagged_incorrect,flagged_correct,incorrect_recall_of_all,selective_error,false_acceptance_among_accepted,false_rejection_among_flagged,speakers_with_any_decision,speakers_with_5plus
0.02,0.2,False,1424,0,1336,88,0.06179775280898876,0.9382022471910112,nan,0,0,0.2159090909090909,19,69,0.07883817427385892,0.7840909090909091,nan,0.7840909090909091,16,7
0.02,0.2,True,1424,0,1364,60,0.042134831460674156,0.9578651685393258,nan,0,0,0.2833333333333333,17,43,0.07053941908713693,0.7166666666666667,nan,0.7166666666666667,16,5
0.02,0.21,False,1424,0,1391,33,0.023174157303370788,0.9768258426966292,nan,0,0,0.3333333333333333,11,22,0.04564315352697095,0.6666666666666666,nan,0.6666666666666666,14,2
0.02,0.21,True,1424,0,1397,27,0.018960674157303372,0.9810393258426966,nan,0,0,0.37037037037037035,10,17,0.04149377593360996,0.6296296296296297,nan,0.6296296296296297,12,1
0.02,0.22,False,1424,0,1400,24,0.016853932584269662,0.9831460674157303,nan,0,0,0.4166666666666667,10,14,0.04149377593360996,0.5833333333333334,nan,0.5833333333333334,12,2
0.02,0.22,True,1424,0,1403,21,0.014747191011235955,0.985252808988764,nan,0,0,0.42857142857142855,9,12,0.03734439834024896,0.5714285714285714,nan,0.5714285714285714,11,1
0.02,0.23,False,1424,0,1404,20,0.014044943820224719,0.9859550561797753,nan,0,0,0.4,8,12,0.03319502074688797,0.6,nan,0.6,11,1
0.02,0.23,True,1424,0,1407,17,0.011938202247191011,0.988061797752809,nan,0,0,0.4117647058823529,7,10,0.029045643153526972,0.5882352941176471,nan,0.5882352941176471,9,0
0.02,0.24,False,1424,0,1410,14,0.009831460674157303,0.9901685393258427,nan,0,0,0.42857142857142855,6,8,0.024896265560165973,0.5714285714285714,nan,0.5714285714285714,7,0
0.02,0.24,True,1424,0,1411,13,0.009129213483146067,0.9908707865168539,nan,0,0,0.38461538461538464,5,8,0.02074688796680498,0.6153846153846154,nan,0.6153846153846154,7,0
0.02,0.25,False,1424,0,1411,13,0.009129213483146067,0.9908707865168539,nan,0,0,0.46153846153846156,6,7,0.024896265560165973,0.5384615384615384,nan,0.5384615384615384,7,0
0.02,0.25,True,1424,0,1412,12,0.008426966292134831,0.9915730337078652,nan,0,0,0.4166666666666667,5,7,0.02074688796680498,0.5833333333333334,nan,0.5833333333333334,7,0
0.02,0.26,False,1424,0,1415,9,0.006320224719101123,0.9936797752808989,nan,0,0,0.3333333333333333,3,6,0.012448132780082987,0.6666666666666666,nan,0.6666666666666666,6,0
0.02,0.26,True,1424,0,1415,9,0.006320224719101123,0.9936797752808989,nan,0,0,0.3333333333333333,3,6,0.012448132780082987,0.6666666666666666,nan,0.6666666666666666,6,0
0.02,0.27,False,1424,0,1418,6,0.004213483146067416,0.9957865168539326,nan,0,0,0.3333333333333333,2,4,0.008298755186721992,0.6666666666666666,nan,0.6666666666666666,4,0
0.02,0.27,True,1424,0,1418,6,0.004213483146067416,0.9957865168539326,nan,0,0,0.3333333333333333,2,4,0.008298755186721992,0.6666666666666666,nan,0.6666666666666666,4,0
0.02,0.28,False,1424,0,1419,5,0.0035112359550561797,0.9964887640449438,nan,0,0,0.2,1,4,0.004149377593360996,0.8,nan,0.8,3,0
0.02,0.28,True,1424,0,1419,5,0.0035112359550561797,0.9964887640449438,nan,0,0,0.2,1,4,0.004149377593360996,0.8,nan,0.8,3,0
0.02,0.29,False,1424,0,1419,5,0.0035112359550561797,0.9964887640449438,nan,0,0,0.2,1,4,0.004149377593360996,0.8,nan,0.8,3,0
0.02,0.29,True,1424,0,1419,5,0.0035112359550561797,0.9964887640449438,nan,0,0,0.2,1,4,0.004149377593360996,0.8,nan,0.8,3,0
0.02,0.3,False,1424,0,1419,5,0.0035112359550561797,0.9964887640449438,nan,0,0,0.2,1,4,0.004149377593360996,0.8,nan,0.8,3,0
