method,K,speaker_id,n_eval,n_incorrect,within_roc,median_score,prevalence
S0,0,02024,52,0,nan,-0.3210091410159466,0.0
S0,0,02028,52,12,0.51875,-0.09417818257941346,0.23076923076923078
S0,0,02029,52,0,nan,-0.2591933643234915,0.0
S0,0,02030,52,10,0.5238095238095238,-0.06940475590785863,0.19230769230769232
S0,0,02031,52,6,0.5869565217391305,0.027788759651082788,0.11538461538461539
S0,0,02033,52,0,nan,-0.37225936006776006,0.0
S0,0,02034,52,1,0.9019607843137255,-0.2123520544835622,0.019230769230769232
S0,0,02035,52,9,0.7131782945736435,-0.22915588423158145,0.17307692307692307
S0,0,02038,52,7,0.7904761904761904,-0.19065893477009238,0.1346153846153846
S0,0,02039,52,34,0.6078431372549019,-0.0698699142735036,0.6538461538461539
S0,0,02041,52,6,0.6630434782608695,-0.16890756970837173,0.11538461538461539
S0,0,02042,52,7,0.5206349206349207,-0.2185680056311002,0.1346153846153846
S0,0,02043,52,11,0.6075388026607539,-0.11282338722049892,0.21153846153846154
S0,0,02044,52,10,0.6071428571428571,-0.051996071270511465,0.19230769230769232
S0,0,02045,52,14,0.48120300751879697,-0.0799651670970297,0.2692307692307692
S0,0,02046,52,11,0.4700665188470067,-0.06894661871716382,0.21153846153846154
S0,5,02024,52,0,nan,-0.3210091410159466,0.0
S0,5,02028,52,12,0.51875,-0.09417818257941346,0.23076923076923078
S0,5,02029,52,0,nan,-0.2591933643234915,0.0
S0,5,02030,52,10,0.5238095238095238,-0.06940475590785863,0.19230769230769232
S0,5,02031,52,6,0.5869565217391305,0.027788759651082788,0.11538461538461539
S0,5,02033,52,0,nan,-0.37225936006776006,0.0
S0,5,02034,52,1,0.9019607843137255,-0.2123520544835622,0.019230769230769232
S0,5,02035,52,9,0.7131782945736435,-0.22915588423158145,0.17307692307692307
S0,5,02038,52,7,0.7904761904761904,-0.19065893477009238,0.1346153846153846
S0,5,02039,52,34,0.6078431372549019,-0.0698699142735036,0.6538461538461539
S0,5,02041,52,6,0.6630434782608695,-0.16890756970837173,0.11538461538461539
S0,5,02042,52,7,0.5206349206349207,-0.2185680056311002,0.1346153846153846
S0,5,02043,52,11,0.6075388026607539,-0.11282338722049892,0.21153846153846154
S0,5,02044,52,10,0.6071428571428571,-0.051996071270511465,0.19230769230769232
S0,5,02045,52,14,0.48120300751879697,-0.0799651670970297,0.2692307692307692
S0,5,02046,52,11,0.4700665188470067,-0.06894661871716382,0.21153846153846154
S0,10,02024,52,0,nan,-0.3210091410159466,0.0
S0,10,02028,52,12,0.51875,-0.09417818257941346,0.23076923076923078
S0,10,02029,52,0,nan,-0.2591933643234915,0.0
S0,10,02030,52,10,0.5238095238095238,-0.06940475590785863,0.19230769230769232
S0,10,02031,52,6,0.5869565217391305,0.027788759651082788,0.11538461538461539
S0,10,02033,52,0,nan,-0.37225936006776006,0.0
S0,10,02034,52,1,0.9019607843137255,-0.2123520544835622,0.019230769230769232
S0,10,02035,52,9,0.7131782945736435,-0.22915588423158145,0.17307692307692307
S0,10,02038,52,7,0.7904761904761904,-0.19065893477009238,0.1346153846153846
S0,10,02039,52,34,0.6078431372549019,-0.0698699142735036,0.6538461538461539
S0,10,02041,52,6,0.6630434782608695,-0.16890756970837173,0.11538461538461539
S0,10,02042,52,7,0.5206349206349207,-0.2185680056311002,0.1346153846153846
S0,10,02043,52,11,0.6075388026607539,-0.11282338722049892,0.21153846153846154
S0,10,02044,52,10,0.6071428571428571,-0.051996071270511465,0.19230769230769232
S0,10,02045,52,14,0.48120300751879697,-0.0799651670970297,0.2692307692307692
S0,10,02046,52,11,0.4700665188470067,-0.06894661871716382,0.21153846153846154
S0,20,02024,52,0,nan,-0.3210091410159466,0.0
S0,20,02028,52,12,0.51875,-0.09417818257941346,0.23076923076923078
S0,20,02029,52,0,nan,-0.2591933643234915,0.0
S0,20,02030,52,10,0.5238095238095238,-0.06940475590785863,0.19230769230769232
S0,20,02031,52,6,0.5869565217391305,0.027788759651082788,0.11538461538461539
S0,20,02033,52,0,nan,-0.37225936006776006,0.0
S0,20,02034,52,1,0.9019607843137255,-0.2123520544835622,0.019230769230769232
S0,20,02035,52,9,0.7131782945736435,-0.22915588423158145,0.17307692307692307
S0,20,02038,52,7,0.7904761904761904,-0.19065893477009238,0.1346153846153846
S0,20,02039,52,34,0.6078431372549019,-0.0698699142735036,0.6538461538461539
S0,20,02041,52,6,0.6630434782608695,-0.16890756970837173,0.11538461538461539
S0,20,02042,52,7,0.5206349206349207,-0.2185680056311002,0.1346153846153846
S0,20,02043,52,11,0.6075388026607539,-0.11282338722049892,0.21153846153846154
S0,20,02044,52,10,0.6071428571428571,-0.051996071270511465,0.19230769230769232
S0,20,02045,52,14,0.48120300751879697,-0.0799651670970297,0.2692307692307692
S0,20,02046,52,11,0.4700665188470067,-0.06894661871716382,0.21153846153846154
S1,5,02024,52,0,nan,-0.06360583716660415,0.0
S1,5,02028,52,12,0.51875,0.24098064567629857,0.23076923076923078
S1,5,02029,52,0,nan,-0.2033763943565242,0.0
S1,5,02030,52,10,0.5238095238095238,-0.10068973071582717,0.19230769230769232
S1,5,02031,52,6,0.5869565217391305,0.1272572916683241,0.11538461538461539
S1,5,02033,52,0,nan,-0.06184995346524688,0.0
S1,5,02034,52,1,0.9019607843137255,-0.1705659231896267,0.019230769230769232
S1,5,02035,52,9,0.7131782945736435,0.032368145578516014,0.17307692307692307
S1,5,02038,52,7,0.7904761904761904,-0.061209346668095924,0.1346153846153846
S1,5,02039,52,34,0.6078431372549019,-0.0039456019216685435,0.6538461538461539
S1,5,02041,52,6,0.6630434782608695,0.24290547060453305,0.11538461538461539
S1,5,02042,52,7,0.5206349206349207,-0.40479741048757983,0.1346153846153846
S1,5,02043,52,11,0.6075388026607539,-0.06810772525729983,0.21153846153846154
S1,5,02044,52,10,0.6071428571428571,-0.17914303981422408,0.19230769230769232
S1,5,02045,52,14,0.48120300751879697,-0.46352910509700684,0.2692307692307692
S1,5,02046,52,11,0.4700665188470067,-0.020875463767727663,0.21153846153846154
S1,10,02024,52,0,nan,-0.20189636317801596,0.0
S1,10,02028,52,12,0.51875,0.009124393580565597,0.23076923076923078
S1,10,02029,52,0,nan,-0.22100162510254898,0.0
S1,10,02030,52,10,0.5238095238095238,-0.1185273063829008,0.19230769230769232
S1,10,02031,52,6,0.5869565217391305,0.12378420904576523,0.11538461538461539
S1,10,02033,52,0,nan,-0.2294125088613477,0.0
S1,10,02034,52,1,0.9019607843137255,-0.1876086233026586,0.019230769230769232
S1,10,02035,52,9,0.7131782945736435,-0.026882965486624125,0.17307692307692307
S1,10,02038,52,7,0.7904761904761904,-0.08847041872151896,0.1346153846153846
S1,10,02039,52,34,0.6078431372549019,-0.015697722508801627,0.6538461538461539
S1,10,02041,52,6,0.6630434782608695,-0.17473721660279395,0.11538461538461539
S1,10,02042,52,7,0.5206349206349207,-0.49546737014811276,0.1346153846153846
S1,10,02043,52,11,0.6075388026607539,-0.038683798300667975,0.21153846153846154
S1,10,02044,52,10,0.6071428571428571,-0.08945552441234356,0.19230769230769232
S1,10,02045,52,14,0.48120300751879697,-0.28870916945919634,0.2692307692307692
S1,10,02046,52,11,0.4700665188470067,-0.013096898907862795,0.21153846153846154
S1,20,02024,52,0,nan,-0.13924667236674446,0.0
S1,20,02028,52,12,0.51875,-0.09621094047917508,0.23076923076923078
S1,20,02029,52,0,nan,-0.19277631291135688,0.0
S1,20,02030,52,10,0.5238095238095238,-0.1375496268004191,0.19230769230769232
S1,20,02031,52,6,0.5869565217391305,0.10565202313070043,0.11538461538461539
S1,20,02033,52,0,nan,-0.14576975595975547,0.0
S1,20,02034,52,1,0.9019607843137255,-0.03394665986406015,0.019230769230769232
S1,20,02035,52,9,0.7131782945736435,-0.0339143320814506,0.17307692307692307
S1,20,02038,52,7,0.7904761904761904,-0.06024174644045656,0.1346153846153846
S1,20,02039,52,34,0.6078431372549019,0.47838747575745033,0.6538461538461539
S1,20,02041,52,6,0.6630434782608695,-0.15901038253996147,0.11538461538461539
S1,20,02042,52,7,0.5206349206349207,-0.3521383042061799,0.1346153846153846
S1,20,02043,52,11,0.6075388026607539,-0.0065425665086393595,0.21153846153846154
S1,20,02044,52,10,0.6071428571428571,-0.09662316565936627,0.19230769230769232
S1,20,02045,52,14,0.48120300751879697,-0.2084402459737216,0.2692307692307692
S1,20,02046,52,11,0.4700665188470067,-0.048188035152884785,0.21153846153846154
S2,5,02024,52,0,nan,-0.16648403887028423,0.0
S2,5,02028,52,12,0.51875,0.5099350169246702,0.23076923076923078
S2,5,02029,52,0,nan,-0.560616157142604,0.0
S2,5,02030,52,10,0.5238095238095238,-0.29352748189227934,0.19230769230769232
S2,5,02031,52,6,0.5869565217391305,0.5203414510344794,0.11538461538461539
S2,5,02033,52,0,nan,-0.12300257499099287,0.0
