representation,C,n_features,pr_auc,roc_auc,balanced_accuracy,macro_f1,incorrect_f1,accuracy,fold_pr_mean,fold_pr_sd,fold_roc_mean
R0_summary,0.01,43,0.22056994947474778,0.5560236125189844,0.5644205778262593,0.5425144570571857,0.2919254658385093,0.6797752808988764,0.22018638096267584,0.10454151203932933,0.5657912818051035
R0_summary,0.1,43,0.23937318726055884,0.5806357702304079,0.5612690852078022,0.5339300561689255,0.2907488986784141,0.660814606741573,0.23817618588488063,0.1129454277140925,0.5901391135221122
R0_summary,1.0,43,0.24797624361789108,0.5884469823186708,0.5614216616450897,0.5268708484584735,0.29362880886426596,0.6418539325842697,0.24912671179391896,0.11125229032085773,0.6016529176005154
R0_summary,10.0,43,0.2495480430165665,0.5857918015594364,0.5658393633178185,0.525468524900809,0.2998661311914324,0.6327247191011236,0.24968246602088406,0.10682925901459414,0.6019955233136158
R1_trajectory_N1,0.01,83,0.2557839260308473,0.6176434481573325,0.6041062352904039,0.5524136630415526,0.340878828229028,0.6523876404494382,0.24045585249279963,0.1119049278877548,0.59826060230164
R1_trajectory_N1,0.1,83,0.2727325813496294,0.6173944153516449,0.5950779192081459,0.5500330527351057,0.33105335157318744,0.6566011235955056,0.25517933377476315,0.12085303132257443,0.6096446660552554
R1_trajectory_N1,1.0,83,0.2877615138788715,0.6126803295651045,0.5946166823919776,0.5482500417421237,0.33062330623306235,0.6530898876404494,0.2647967874343775,0.13165977039196106,0.6072797779161944
R1_trajectory_N1,10.0,83,0.2804243712751732,0.6100286563101757,0.5946166823919776,0.5482500417421237,0.33062330623306235,0.6530898876404494,0.26372053176109245,0.12008934491809034,0.6073643664397704
R2_trajectory_N2,0.01,83,0.2806386788405985,0.6345496189096571,0.5849745530562639,0.551685745478916,0.31871345029239767,0.672752808988764,0.258996209296774,0.1256598496455988,0.6123010242194403
R2_trajectory_N2,0.1,83,0.2918354120064344,0.6366085239369631,0.6030311852207799,0.5573659622727888,0.3397790055248619,0.6643258426966292,0.26967440438328305,0.1381066440434157,0.6284405396979443
R2_trajectory_N2,1.0,83,0.28613856824162054,0.633385127480244,0.6021858766831636,0.5563206393469439,0.33884297520661155,0.6629213483146067,0.2660951777081902,0.13341355525038098,0.6257439833938738
R2_trajectory_N2,10.0,83,0.27549165473901716,0.6114421805452768,0.5942711932178897,0.5502575606352147,0.33012379642365886,0.6580056179775281,0.26217736924241397,0.12442057693220893,0.6119405520942675
R3_trajectory_plus_summary,0.01,123,0.2624781595166423,0.6150478949712911,0.5955794923238268,0.565846086225481,0.33078101071975496,0.6931179775280899,0.25961407601556213,0.12437677039324653,0.6211787248371505
R3_trajectory_plus_summary,0.1,123,0.2677498215094313,0.6278362556690038,0.6041079890425566,0.5660210958970611,0.34110787172011664,0.6825842696629213,0.2615753774984362,0.1290568798964239,0.6339061559037162
R3_trajectory_plus_summary,1.0,123,0.26679984113210015,0.6293970950849341,0.5956549036663943,0.5555449753083481,0.3314447592067989,0.6685393258426966,0.2622195889123079,0.11688669297552949,0.6382767280669487
R3_trajectory_plus_summary,10.0,123,0.27615717801741896,0.6323013086498565,0.594771012581418,0.5532698552710681,0.33053221288515405,0.6643258426966292,0.2682693648874185,0.10996506205370224,0.6423939525624913
