t_pass,enabled_tones,n,n_pass,n_retry,coverage,pass_precision,true_pass,false_pass,false_pass_rate,incorrect_tokens_passed,speakers_any_pass,speakers_5plus_pass,speakers_zero_pass,T1_pass,T1_precision,T1_false_pass,T2_pass,T2_precision,T2_false_pass,T3_pass,T3_precision,T3_false_pass,T4_pass,T4_precision,T4_false_pass
0.03756,1234,1424,15,1409,0.010533707865168539,0.9333333333333333,14,1,0.06666666666666667,1,11,0,21,0,nan,0,5,1.0,0,5,1.0,0,5,0.8,1
0.0901,1234,1424,26,1398,0.018258426966292134,0.9230769230769231,24,2,0.07692307692307693,2,17,0,15,0,nan,0,8,0.875,1,9,1.0,0,9,0.8888888888888888,1
0.14378,1234,1424,37,1387,0.02598314606741573,0.8648648648648649,32,5,0.13513513513513514,5,20,1,12,0,nan,0,11,0.8181818181818182,2,12,0.9166666666666666,1,14,0.8571428571428571,2
0.18728,1234,1424,48,1376,0.033707865168539325,0.8541666666666666,41,7,0.14583333333333334,7,22,1,10,0,nan,0,14,0.8571428571428571,2,13,0.9230769230769231,1,21,0.8095238095238095,4
0.24015,1234,1424,60,1364,0.042134831460674156,0.8666666666666667,52,8,0.13333333333333333,8,23,3,9,0,nan,0,17,0.8823529411764706,2,17,0.9411764705882353,1,26,0.8076923076923077,5
0.26154,1234,1424,71,1353,0.04985955056179775,0.8873239436619719,63,8,0.11267605633802817,8,23,4,9,2,1.0,0,19,0.8947368421052632,2,18,0.9444444444444444,1,32,0.84375,5
0.27179,1234,1424,82,1342,0.05758426966292135,0.8780487804878049,72,10,0.12195121951219512,10,24,7,8,3,0.6666666666666666,1,23,0.9130434782608695,2,18,0.9444444444444444,1,38,0.8421052631578947,6
0.29033,1234,1424,93,1331,0.06530898876404495,0.8817204301075269,82,11,0.11827956989247312,11,27,8,5,4,0.5,2,26,0.9230769230769231,2,19,0.9473684210526315,1,44,0.8636363636363636,6
0.30842,1234,1424,105,1319,0.07373595505617977,0.8761904761904762,92,13,0.12380952380952381,13,30,10,2,4,0.5,2,30,0.9333333333333333,2,22,0.9090909090909091,2,49,0.8571428571428571,7
0.32191,1234,1424,116,1308,0.08146067415730338,0.8879310344827587,103,13,0.11206896551724138,13,30,10,2,4,0.5,2,33,0.9393939393939394,2,22,0.9090909090909091,2,57,0.8771929824561403,7
0.32883,1234,1424,127,1297,0.08918539325842696,0.8976377952755905,114,13,0.10236220472440945,13,30,11,2,4,0.5,2,35,0.9428571428571428,2,23,0.9130434782608695,2,65,0.8923076923076924,7
0.34167,1234,1424,138,1286,0.09691011235955056,0.9057971014492754,125,13,0.09420289855072464,13,31,11,1,4,0.5,2,37,0.9459459459459459,2,26,0.9230769230769231,2,71,0.9014084507042254,7
0.35125,1234,1424,150,1274,0.10533707865168539,0.9066666666666666,136,14,0.09333333333333334,14,31,12,1,4,0.5,2,40,0.925,3,28,0.9285714285714286,2,78,0.9102564102564102,7
0.36193,1234,1424,161,1263,0.11306179775280899,0.9006211180124224,145,16,0.09937888198757763,16,31,12,1,5,0.4,3,42,0.9285714285714286,3,32,0.90625,3,82,0.9146341463414634,7
0.36769,1234,1424,172,1252,0.12078651685393259,0.9069767441860465,156,16,0.09302325581395349,16,31,12,1,6,0.5,3,45,0.9333333333333333,3,32,0.90625,3,89,0.9213483146067416,7
0.38059,1234,1424,183,1241,0.12851123595505617,0.9016393442622951,165,18,0.09836065573770492,18,31,13,1,8,0.5,4,46,0.9347826086956522,3,35,0.9142857142857143,3,94,0.9148936170212766,8
0.38448,1234,1424,195,1229,0.136938202247191,0.9076923076923077,177,18,0.09230769230769231,18,31,13,1,8,0.5,4,50,0.94,3,37,0.918918918918919,3,100,0.92,8
0.39184,1234,1424,206,1218,0.1446629213483146,0.9077669902912622,187,19,0.09223300970873786,19,31,13,1,10,0.5,5,52,0.9423076923076923,3,38,0.9210526315789473,3,106,0.9245283018867925,8
0.39651,1234,1424,217,1207,0.1523876404494382,0.9032258064516129,196,21,0.0967741935483871,21,31,14,1,13,0.6153846153846154,5,54,0.9444444444444444,3,40,0.9,4,110,0.9181818181818182,9
0.40133,1234,1424,228,1196,0.1601123595505618,0.9035087719298246,206,22,0.09649122807017543,22,31,17,1,15,0.6666666666666666,5,58,0.9482758620689655,3,41,0.8780487804878049,5,114,0.9210526315789473,9
0.40496,1234,1424,240,1184,0.16853932584269662,0.8958333333333334,215,25,0.10416666666666667,25,31,20,1,18,0.6111111111111112,7,62,0.9354838709677419,4,43,0.8837209302325582,5,117,0.9230769230769231,9
0.40988,1234,1424,251,1173,0.17626404494382023,0.896414342629482,225,26,0.10358565737051793,26,31,20,1,19,0.631578947368421,7,66,0.9242424242424242,5,44,0.8863636363636364,5,122,0.9262295081967213,9
0.41339,1234,1424,262,1162,0.18398876404494383,0.8931297709923665,234,28,0.10687022900763359,28,31,20,1,20,0.65,7,71,0.9014084507042254,7,46,0.8913043478260869,5,125,0.928,9
0.41844,1234,1424,273,1151,0.19171348314606743,0.8974358974358975,245,28,0.10256410256410256,28,31,22,1,24,0.7083333333333334,7,72,0.9027777777777778,7,47,0.8936170212765957,5,130,0.9307692307692308,9
0.42274,1234,1424,284,1140,0.199438202247191,0.9014084507042254,256,28,0.09859154929577464,28,31,22,1,24,0.7083333333333334,7,75,0.9066666666666666,7,49,0.8979591836734694,5,136,0.9338235294117647,9
0.42512,1234,1424,296,1128,0.20786516853932585,0.8986486486486487,266,30,0.10135135135135136,30,31,22,1,27,0.7037037037037037,8,78,0.8974358974358975,8,49,0.8979591836734694,5,142,0.9366197183098591,9
0.42879,1234,1424,307,1117,0.21558988764044945,0.8925081433224755,274,33,0.10749185667752444,33,32,22,0,29,0.6896551724137931,9,81,0.8888888888888888,9,49,0.8979591836734694,5,148,0.9324324324324325,10
0.43205,1234,1424,318,1106,0.22331460674157302,0.8930817610062893,284,34,0.1069182389937107,34,32,22,0,33,0.7272727272727273,9,85,0.8823529411764706,10,50,0.9,5,150,0.9333333333333333,10
0.43439,1234,1424,329,1095,0.23103932584269662,0.8905775075987842,293,36,0.1094224924012158,36,32,22,0,39,0.717948717948718,11,86,0.8837209302325582,10,51,0.9019607843137255,5,153,0.934640522875817,10
0.43773,1234,1424,341,1083,0.23946629213483145,0.8885630498533724,303,38,0.11143695014662756,38,32,22,0,43,0.7441860465116279,11,90,0.8888888888888888,10,51,0.9019607843137255,5,157,0.9235668789808917,12
0.44191,1234,1424,352,1072,0.24719101123595505,0.8892045454545454,313,39,0.11079545454545454,39,32,22,0,49,0.7755102040816326,11,93,0.8924731182795699,10,51,0.9019607843137255,5,159,0.9182389937106918,13
0.44389,1234,1424,363,1061,0.25491573033707865,0.8898071625344353,323,40,0.11019283746556474,40,32,22,0,54,0.7962962962962963,11,96,0.8854166666666666,11,51,0.9019607843137255,5,162,0.9197530864197531,13
0.44658,1234,1424,374,1050,0.26264044943820225,0.8903743315508021,333,41,0.10962566844919786,41,32,23,0,60,0.8166666666666667,11,100,0.89,11,51,0.9019607843137255,5,163,0.9141104294478528,14
0.44878,1234,1424,386,1038,0.2710674157303371,0.8886010362694301,343,43,0.11139896373056994,43,32,23,0,64,0.8125,12,101,0.8910891089108911,11,54,0.9074074074074074,5,167,0.9101796407185628,15
0.45048,1234,1424,397,1027,0.27879213483146065,0.8816120906801007,350,47,0.11838790931989925,47,32,23,0,72,0.7777777777777778,16,101,0.8910891089108911,11,54,0.9074074074074074,5,170,0.9117647058823529,15
0.45191,1234,1424,408,1016,0.28651685393258425,0.8823529411764706,360,48,0.11764705882352941,48,32,23,0,78,0.7948717948717948,16,102,0.8921568627450981,11,55,0.9090909090909091,5,173,0.9075144508670521,16
0.45355,1234,1424,419,1005,0.29424157303370785,0.8782816229116945,368,51,0.12171837708830549,51,32,24,0,84,0.7976190476190477,17,102,0.8921568627450981,11,58,0.896551724137931,6,175,0.9028571428571428,17
0.45571,1234,1424,431,993,0.3026685393258427,0.8793503480278422,379,52,0.12064965197215777,52,32,24,0,90,0.8111111111111111,17,106,0.8962264150943396,11,58,0.896551724137931,6,177,0.8983050847457628,18
0.45697,1234,1424,442,982,0.3103932584269663,0.8823529411764706,390,52,0.11764705882352941,52,32,25,0,98,0.826530612244898,17,107,0.897196261682243,11,58,0.896551724137931,6,179,0.8994413407821229,18
0.458,1234,1424,453,971,0.3181179775280899,0.8830022075055187,400,53,0.11699779249448124,53,32,25,0,106,0.8301886792452831,18,107,0.897196261682243,11,58,0.896551724137931,6,182,0.9010989010989011,18
0.45909,1234,1424,464,960,0.3258426966292135,0.8857758620689655,411,53,0.11422413793103449,53,32,25,0,112,0.8392857142857143,18,109,0.8990825688073395,11,58,0.896551724137931,6,185,0.9027027027027027,18
0.46028,1234,1424,476,948,0.3342696629213483,0.884453781512605,421,55,0.11554621848739496,55,32,25,0,119,0.8403361344537815,19,109,0.8990825688073395,11,59,0.8983050847457628,6,189,0.8994708994708994,19
0.46137,1234,1424,487,937,0.3419943820224719,0.8870636550308009,432,55,0.11293634496919917,55,32,26,0,127,0.8503937007874016,19,109,0.8990825688073395,11,59,0.8983050847457628,6,192,0.9010416666666666,19
0.46256,1234,1424,498,926,0.3497191011235955,0.8855421686746988,441,57,0.1144578313253012,57,32,26,0,132,0.8484848484848485,20,111,0.9009009009009009,11,59,0.8983050847457628,6,196,0.8979591836734694,20
0.46411,1234,1424,509,915,0.3574438202247191,0.8840864440078585,450,59,0.11591355599214145,59,32,26,0,139,0.841726618705036,22,111,0.9009009009009009,11,61,0.9016393442622951,6,198,0.898989898989899,20
0.4647,1234,1424,521,903,0.36587078651685395,0.8848368522072937,461,60,0.11516314779270634,60,32,26,0,145,0.8482758620689655,22,111,0.9009009009009009,11,63,0.8888888888888888,7,202,0.900990099009901,20
0.46619,1234,1424,532,892,0.37359550561797755,0.8872180451127819,472,60,0.11278195488721804,60,32,26,0,148,0.8513513513513513,22,115,0.9043478260869565,11,64,0.890625,7,205,0.9024390243902439,20
