token_id,speaker_id,human_correct,produced_tone_proxy,predicted_tone,nested_selected_candidate,score_type,decision_score_T1,decision_score_T2,decision_score_T3,decision_score_T4
00200214_00,02002,1,T3,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.5691922354579761,0.17440116416280993,-0.12259354488046226,-1.186596929642353
00200214_01,02002,1,T1,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.2330976398447706,-0.06792216296662734,-1.6744083612302152,-0.6103579808802514
00200214_03,02002,1,T2,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.7441687337537654,0.651809553000505,-0.9920357016306914,-1.3815558754731798
00200214_04,02002,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.6043920466075585,-2.339452724148832,-0.8744243099247555,1.6337323933971992
00200214_06,02002,1,T4,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.1076113374645256,0.26936974318653584,-1.5914469900829937,-0.5804312403455223
00200214_07,02002,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.6453465103289966,-1.4965524197411129,-0.9130674678890945,-0.5659805364620387
00200214_08,02002,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.05204652777709318,-0.8738539867343424,-0.33219175454163374,-0.7268083469383522
00200217_03,02002,1,T2,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.0183740716966857,-0.5225881653979695,-0.7808503237233202,-1.0313515502604045
00200220_00,02002,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.8143316696599268,-1.5033909207801939,1.276341425681796,-0.11338791655009955
00200220_01,02002,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.07074642897530287,-0.4681388243436244,-0.7893134888125034,-0.8569161580520693
00200220_05,02002,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.845900681412357,-1.0643997875414546,-0.059674535085786684,-0.864492883397952
00200220_06,02002,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.34708724939708313,-1.2268924871422562,-0.7414940389187736,-0.4447347937674182
00200220_08,02002,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.4801487244747502,-0.12534093879529862,0.18839037920945956,-0.7309815410524534
00200220_15,02002,1,T2,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.12821288837872835,0.5913035683415284,-0.7862265599613578,-1.9319392657148444
00200314_00,02003,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.1365811286661833,-0.5224060919931497,0.24444303155556346,-0.5188501756344565
00200314_01,02003,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.36500349476509997,-0.08713830864730843,-2.281993606293123,-0.8260192358817855
00200314_03,02003,1,T2,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.5747224496808969,-0.22752407443072437,-0.5230975625743611,-0.9890857560427044
00200314_04,02003,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.46149506226214176,-0.6909791771263406,-1.7072541405886974,0.15545606719292138
00200314_06,02003,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.9548571132121784,-0.591242262434553,-1.0148917509330542,0.2176057558064356
00200314_07,02003,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.5265955629531952,-1.2158010549762253,-1.403514952791702,-0.8351229334597217
00200314_08,02003,1,T1,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-3.371950668503472,-0.8041123900571807,0.8145179360017176,-0.6958509792400591
00200317_01,02003,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.6690372906811668,-1.2499022828130508,-2.5683188106170034,0.7897834086793903
00200320_00,02003,1,T3,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.47868382346370997,-0.2999588587569637,-0.8185164402152733,-0.9258554186550557
00200320_01,02003,1,T1,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.41289247147394464,-0.17393829189278903,-0.7773584213774833,-0.6302296395313507
00200320_03,02003,1,T1,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.08148488277930599,-2.997412097387578,-1.4195571526440438,0.0401191188527632
00200320_05,02003,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.6143254389654149,-0.6340134312528594,1.5129047327601624,-1.7817515143837857
00200320_06,02003,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.05522313146043445,-0.6557178101692753,-1.822141905456368,-0.10054245183222793
00200320_08,02003,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.6204346964720375,0.33732339842072356,0.5087586996497877,-1.7349373719019088
00200320_13,02003,1,T1,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.18088943958631054,-2.266115782541247,-0.037466130767685124,-0.31338392258838194
00200320_15,02003,1,T2,T1,fusion;C=0.03,uncalibrated_linear_svm_margin,0.2798956755922476,-0.28481055927933135,0.17000967817884383,-2.257077888363089
00200514_04,02005,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.0824618290481784,-0.4413007315414409,-0.669839819490054,-0.01615017906067895
00200514_06,02005,1,T4,T2,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.9092478733184273,-0.07630433890978416,-0.8646221891276256,-0.5409991901734955
00200514_07,02005,1,T1,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.8294403163458111,-0.20898657477864563,-0.748822017252829,-0.2079412779677515
00200514_08,02005,1,T1,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-0.7515990505004789,-0.4246545468577665,-0.9807430094185734,-0.16949651739436966
00200517_01,02005,1,T4,T4,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.1830336581934051,-0.14061352266171867,-1.1843589756459612,0.09556044457640722
00200520_00,02005,1,T3,T3,fusion;C=0.03,uncalibrated_linear_svm_margin,-1.4741704573127365,-0.26850716630902094,0.550744926734718,-0.8192336412799794
