token_id,speaker_id,human_correct,produced_tone_proxy,predicted_tone,probability_T1,probability_T2,probability_T3,probability_T4
00200214_00,02002,1,T3,T2,8.092743531536335e-05,0.4789741277835047,0.3853380442701602,0.13560690051101978
00200214_01,02002,1,T1,T1,0.4034848285860928,0.30892920180585504,0.16768685441823605,0.11989911518981604
00200214_03,02002,1,T2,T2,0.04555315796742979,0.6427359186676272,0.3042115965075607,0.007499326857382105
00200214_04,02002,1,T4,T1,0.4428361469660201,0.14251651527430367,0.12085047112213446,0.2937968666375419
00200214_06,02002,1,T4,T2,0.176137781197197,0.39709940186747456,0.31279763299914604,0.11396518393618234
00200214_07,02002,1,T1,T1,0.36354049320256643,0.2434854194217883,0.13540832529627536,0.25756576207936993
00200214_08,02002,1,T1,T1,0.3672300675603468,0.2618532742056289,0.13058995611957824,0.24032670211444612
00200217_03,02002,1,T2,T2,0.25107754965156226,0.4841472415040544,0.2028762593717972,0.06189894947258598
00200220_00,02002,1,T3,T3,0.23610811565112588,0.19004496321627878,0.35854348552862764,0.2153034356039677
00200220_01,02002,1,T1,T1,0.3868629458676832,0.3117843604946963,0.13540437903059668,0.1659483146070238
00200220_05,02002,1,T3,T3,0.11355851188588088,0.38823273028194405,0.4070618141225724,0.09114694370960275
00200220_06,02002,1,T1,T1,0.4808093459743586,0.21216634248014254,0.07325784199458557,0.23376646955091326
00200220_08,02002,1,T3,T3,0.19991705913167077,0.3165333867116843,0.39756029070463555,0.08598926345200954
00200220_15,02002,1,T2,T2,0.013572725415521682,0.9016051390705043,0.08278609036059673,0.0020360451533772525
00200314_00,02003,1,T3,T2,0.2227809812733818,0.4127372436686454,0.21528504805379206,0.14919672700418077
00200314_01,02003,1,T1,T1,0.39713100420331354,0.30113895697816606,0.15332163454305642,0.1484084042754638
00200314_03,02003,1,T2,T2,0.17762441636635778,0.4664406266201292,0.2854130052843069,0.07052195172920617
00200314_04,02003,1,T4,T1,0.40150843233965733,0.1884729081662642,0.06373642235633502,0.34628223713774353
00200314_06,02003,1,T4,T4,0.34516271982957164,0.18065938494156164,0.0926160299423033,0.3815618652865635
00200314_07,02003,1,T1,T1,0.37983163417862553,0.20056872013503377,0.11294972601774683,0.3066499196685938
00200314_08,02003,1,T1,T4,8.236324908281915e-08,0.004850916003527565,0.4534020609675026,0.5417469406657207
00200317_01,02003,1,T4,T1,0.4096219409333874,0.1522106160194422,0.050113726014785934,0.38805371703238434
00200320_00,02003,1,T3,T1,0.3463588194419687,0.21038202658818322,0.19809895718602127,0.24516019678382675
00200320_01,02003,1,T1,T1,0.431098317428341,0.2274434843167685,0.126961361997947,0.21449683625694355
00200320_03,02003,1,T1,T4,0.3249303677337146,0.12191975221843246,0.1412776914150691,0.41187218863278385
00200320_05,02003,1,T3,T2,0.06349061082451554,0.5068386083928476,0.33690122363410024,0.09276955714853664
00200320_06,02003,1,T1,T1,0.4663040907731644,0.18330517070765265,0.08878418197067153,0.26160655654851145
00200320_08,02003,1,T3,T2,0.11604267433012481,0.6523444078268239,0.21426948447748975,0.01734343336556157
00200320_13,02003,1,T1,T1,0.44538901292371924,0.09551564072055008,0.1021753446092126,0.35692000174651806
00200320_15,02003,1,T2,T2,0.07917989856096509,0.664481005603857,0.24654736815436706,0.009791727680810807
00200514_04,02005,1,T4,T3,0.1630881828938863,0.19466019403814278,0.4566884670947049,0.18556315597326598
00200514_06,02005,1,T4,T2,0.10223014408988779,0.41760003632772963,0.35268694869239964,0.12748287088998314
00200514_07,02005,1,T1,T1,0.3339085507851428,0.2566806766297334,0.18232011276338497,0.22709065982173882
00200514_08,02005,1,T1,T1,0.3400197301868352,0.2368460864558559,0.17930891255521098,0.2438252708020979
00200517_01,02005,1,T4,T1,0.3630117897116676,0.2035603045623921,0.13865271490965922,0.294775190816281
00200520_00,02005,1,T3,T3,0.02966848000133195,0.07155985416269732,0.6356316335461192,0.2631400322898515
00200520_01,02005,1,T1,T2,0.3044495279511326,0.33790900088766795,0.22067567293763596,0.13696579822356345
00200520_03,02005,1,T1,T1,0.33283715253554663,0.16409823644105748,0.263427478865585,0.23963713215781093
00200520_06,02005,1,T1,T1,0.32194775865135,0.259186686415698,0.15218475463966402,0.26668080029328795
00200520_13,02005,1,T1,T4,0.27227001433537934,0.1308468896150366,0.18295213174520597,0.4139309643043782
00200520_15,02005,1,T2,T2,0.0007321572472634842,0.9196611967385041,0.07953596717447939,7.067883975308629e-05
00200614_03,02006,1,T2,T3,4.953928497962372e-09,3.9551984225208045e-08,0.999668562640655,0.00033139285343231073
00200614_04,02006,1,T4,T1,0.4326504629259576,0.23555523658812635,0.08571074122928601,0.24608355925662995
00200614_06,02006,1,T4,T1,0.3998361177883438,0.15396699819371806,0.07719079264715406,0.36900609137078394
00200614_08,02006,1,T1,T1,0.40355851287709193,0.312670785744842,0.05546813319825103,0.2283025681798149
00200617_01,02006,1,T4,T1,0.5429076851838549,0.08317819620675955,0.019028849643472408,0.35488526896591316
00200620_00,02006,1,T3,T4,0.226540952736259,0.1552991969016994,0.2984463390185201,0.3197135113435216
00200620_03,02006,1,T1,T3,0.16348893017704544,0.18748728780249305,0.4402771194604662,0.20874666255999536
00200620_13,02006,1,T1,T4,0.2374987061911858,0.0793773707538074,0.1452923724698189,0.537831550585188
00200714_00,02007,1,T3,T2,0.10920293626781116,0.5155282455282899,0.23608730376404521,0.13918151443985374
00200714_01,02007,1,T1,T1,0.5654011542342452,0.221032344527698,0.08691862724891634,0.1266478739891405
00200714_03,02007,1,T2,T3,3.772447516052379e-07,0.0027000563043967987,0.9972988054415776,7.61009274192603e-07
00200714_04,02007,1,T4,T1,0.43727864504817876,0.13123933519767855,0.07702672586338405,0.35445529389075875
00200714_06,02007,1,T4,T1,0.3948921404213946,0.14830563045291076,0.08562538900831843,0.3711768401173761
00200714_07,02007,1,T1,T1,0.45727217378894447,0.08379353688964011,0.05906257096283101,0.39987171835858437
00200714_08,02007,1,T1,T1,0.40622933908618475,0.26969409858257815,0.06209393449886766,0.2619826278323694
00200717_01,02007,1,T4,T1,0.5419888662059319,0.08065200362012871,0.023700436692857024,0.3536586934810823
00200717_03,02007,1,T2,T2,0.24951665108929136,0.6300766751948949,0.10820892799669314,0.012197745719120724
00200720_00,02007,1,T3,T3,0.040891237054313016,0.26594713054711666,0.6514325585207371,0.0417290738778331
00200720_01,02007,1,T1,T2,0.051756279524772277,0.6100169116158446,0.33464200510984954,0.0035848037495333973
00200720_05,02007,1,T3,T3,3.724269252946569e-07,4.3041471487636494e-05,0.9993304816570611,0.0006261044445259595
00200720_06,02007,1,T1,T1,0.4578317659052859,0.13326450743253584,0.0771567671278308,0.33174695953434746
00200720_08,02007,1,T3,T2,5.9655470848247364e-12,0.9712826976865656,0.028717302307468853,4.367323227577352e-19
00200720_13,02007,1,T1,T4,0.34037641868569357,0.0464146098076052,0.04227540595726087,0.5709335655494403
