trial_id,human_usability_judgment,human_note
Q001,REJECT,""
Q002,ACCEPT,""
Q003,ACCEPT,""
Q004,ACCEPT,""
Q005,ACCEPT,""
Q006,REJECT,""
Q007,REJECT,""
Q008,ACCEPT,""
Q009,REJECT,""
Q010,ACCEPT,""
Q011,ACCEPT,""
Q012,REJECT,""
Q013,ACCEPT,""
Q014,ACCEPT,""
Q015,REJECT,""
Q016,ACCEPT,""
Q017,REJECT,""
Q018,ACCEPT,""
Q019,ACCEPT,""
Q020,REJECT,""
Q021,REJECT,""
Q022,ACCEPT,""
Q023,ACCEPT,""
Q024,ACCEPT,""
Q025,ACCEPT,""
Q026,ACCEPT,""
Q027,ACCEPT,""
Q028,REJECT,""
Q029,ACCEPT,""
Q030,REJECT,""
Q031,ACCEPT,""
Q032,ACCEPT,""
Q033,ACCEPT,""
Q034,ACCEPT,""
Q035,ACCEPT,""
Q036,ACCEPT,""
Q037,ACCEPT,""
Q038,ACCEPT,""
Q039,ACCEPT,""
Q040,ACCEPT,""
Q041,ACCEPT,""
Q042,REJECT,""
Q043,REJECT,""
Q044,ACCEPT,""
Q045,ACCEPT,""
Q046,ACCEPT,""
Q047,ACCEPT,""
Q048,ACCEPT,""
Q049,REJECT,""
Q050,ACCEPT,""
Q051,ACCEPT,""
Q052,ACCEPT,""
Q053,ACCEPT,""
Q054,ACCEPT,""
Q055,ACCEPT,""
Q056,ACCEPT,""
Q057,ACCEPT,""
Q058,REJECT,""
Q059,ACCEPT,""
Q060,ACCEPT,""
Q061,REJECT,""
Q062,ACCEPT,""
Q063,REJECT,""
Q064,ACCEPT,""
Q065,REJECT,""
Q066,ACCEPT,""
Q067,ACCEPT,""
Q068,ACCEPT,""
Q069,ACCEPT,""
Q070,ACCEPT,""
Q071,REJECT,""
Q072,ACCEPT,""
Q073,ACCEPT,""
Q074,ACCEPT,""
Q075,ACCEPT,""
Q076,ACCEPT,""
Q077,ACCEPT,""
Q078,ACCEPT,""
Q079,ACCEPT,""
Q080,ACCEPT,""
Q081,ACCEPT,""
Q082,ACCEPT,""
Q083,ACCEPT,""
Q084,ACCEPT,""
Q085,REJECT,""
Q086,REJECT,""
Q087,ACCEPT,""
Q088,ACCEPT,""
Q089,ACCEPT,""
Q090,ACCEPT,""
Q091,ACCEPT,""
Q092,ACCEPT,""
Q093,ACCEPT,""
Q094,ACCEPT,""
Q095,ACCEPT,""
Q096,ACCEPT,""
Q097,ACCEPT,""
Q098,ACCEPT,""
Q099,ACCEPT,""
Q100,ACCEPT,""
Q101,ACCEPT,""
Q102,ACCEPT,""
Q103,ACCEPT,""
Q104,ACCEPT,""
Q105,ACCEPT,""
Q106,ACCEPT,""
Q107,ACCEPT,""
Q108,ACCEPT,""
Q109,ACCEPT,""
Q110,ACCEPT,""
