speaker_id,split,n_tokens,n_correct,n_incorrect,incorrect_rate,n_T1,n_T2,n_T3,n_T4
02001,test,17,16,1,0.0588,7,3,4,3
02002,train,17,14,3,0.1765,7,3,4,3
02003,train,17,16,1,0.0588,7,3,4,3
02004,dev,17,15,2,0.1176,7,3,4,3
02005,train,17,11,6,0.3529,7,3,4,3
02006,train,17,8,9,0.5294,7,3,4,3
02007,train,17,16,1,0.0588,7,3,4,3
02008,test,17,13,4,0.2353,7,3,4,3
02009,train,17,17,0,0.0000,7,3,4,3
02010,train,17,16,1,0.0588,7,3,4,3
02011,train,17,16,1,0.0588,7,3,4,3
02012,train,17,17,0,0.0000,7,3,4,3
02013,train,17,10,7,0.4118,7,3,4,3
02014,dev,17,14,3,0.1765,7,3,4,3
02015,test,17,14,3,0.1765,7,3,4,3
02016,train,17,15,2,0.1176,7,3,4,3
02018,train,17,11,6,0.3529,7,3,4,3
02019,train,17,11,6,0.3529,7,3,4,3
02020,train,17,16,1,0.0588,7,3,4,3
02021,train,17,10,7,0.4118,7,3,4,3
02022,train,17,17,0,0.0000,7,3,4,3
02023,dev,72,70,2,0.0278,17,17,8,30
02024,train,72,72,0,0.0000,17,17,8,30
02025,test,72,70,2,0.0278,17,17,8,30
02026,test,72,46,26,0.3611,17,17,8,30
02027,dev,72,56,16,0.2222,17,17,8,30
02028,train,72,52,20,0.2778,17,17,8,30
02029,train,72,70,2,0.0278,17,17,8,30
02030,train,72,56,16,0.2222,17,17,8,30
02031,train,72,66,6,0.0833,17,17,8,30
02032,test,55,47,8,0.1455,15,14,4,22
02033,train,72,72,0,0.0000,17,17,8,30
02034,train,72,71,1,0.0139,17,17,8,30
02035,train,72,60,12,0.1667,17,17,8,30
02036,dev,72,63,9,0.1250,17,17,8,30
02037,test,72,61,11,0.1528,17,17,8,30
02038,train,72,62,10,0.1389,17,17,8,30
02039,train,72,31,41,0.5694,17,17,8,30
02040,dev,72,49,23,0.3194,17,17,8,30
02041,train,72,66,6,0.0833,17,17,8,30
02042,train,72,58,14,0.1944,17,17,8,30
02043,train,72,58,14,0.1944,17,17,8,30
02044,train,72,60,12,0.1667,17,17,8,30
02045,train,72,50,22,0.3056,17,17,8,30
02046,train,72,58,14,0.1944,17,17,8,30
