trial_id,review_id,token_id,padding_ms,original_judgment,alignment_status,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,orig_start,orig_end,padded_start,padded_end,duration_seconds
P001,R043,00204126_02,60,QUESTIONABLE,good,1,年,nián,2,02041,00204126,1.7057,1.9064,1.6457,1.9664,0.3207
P002,R060,00203529_07,0,GOOD,good,0,條,tiáo,2,02035,00203529,4.1459,4.4864,4.1459,4.4864,0.3405
P003,R024,00201314_01,40,QUESTIONABLE,good,0,貓,māo,1,02013,00201314,0.6644,0.8054,0.6244,0.8454,0.2210
P004,R046,00204426_09,60,QUESTIONABLE,good,1,裡,lǐ,3,02044,00204426,5.1168,5.2171,5.0568,5.2771,0.2203
P005,R007,00200914_01,0,QUESTIONABLE,good,1,貓,māo,1,02009,00200914,0.6837,0.8647,0.6837,0.8647,0.1810
P006,R038,00203929_05,0,QUESTIONABLE,good,0,發,fā,1,02039,00203929,3.5872,3.7074,3.5872,3.7074,0.1202
P007,R052,00203026_03,40,GOOD,good,0,夜,yè,4,02030,00203026,0.7421,0.8423,0.7021,0.8823,0.1802
P008,R006,00201514_04,40,GOOD,good,1,字,zì,4,02015,00201514,2.5286,2.6490,2.4886,2.6890,0.2004
P009,R034,00203711_08,0,WRONG,good,1,表,biǎo,3,02037,00203711,2.6124,2.8335,2.6124,2.8335,0.2211
P010,R016,00203113_03,60,GOOD,good,1,熱,rè,4,02031,00203113,0.9052,1.0057,0.8452,1.0657,0.2205
P011,R003,00200314_03,40,GOOD,good,1,名,míng,2,02003,00200314,2.0467,2.2674,2.0067,2.3074,0.3007
P012,R022,00203829_08,20,GOOD,good,0,短,duǎn,3,02038,00203829,7.4534,7.6337,7.4334,7.6537,0.2203
P013,R005,00201520_08,60,WRONG,good,0,兩,liǎng,3,02015,00201520,6.5637,6.8238,6.5037,6.8838,0.3801
P014,R042,00201820_05,40,QUESTIONABLE,good,0,小,xiǎo,3,02018,00201820,2.9639,3.3043,2.9239,3.3443,0.4204
P015,R030,00202320_08,0,GOOD,good,1,話,huà,4,02023,00202320,4.4582,4.5988,4.4582,4.5988,0.1406
P016,R047,00202526_08,20,GOOD,good,0,館,guǎn,3,02025,00202526,2.9738,3.1949,2.9538,3.2149,0.2611
P017,R035,00200720_03,40,QUESTIONABLE,good,0,一,yī,1,02007,00200720,1.9241,2.0043,1.8841,2.0443,0.1602
P018,R044,00203229_07,20,QUESTIONABLE,good,0,條,tiáo,2,02032,00203229,2.8512,3.0520,2.8312,3.0720,0.2408
P019,R033,00204229_02,20,WRONG,good,1,用,yòng,4,02042,00204229,1.6838,1.8842,1.6638,1.9042,0.2404
P020,R053,00201420_00,20,QUESTIONABLE,good,0,裡,lǐ,3,02014,00201420,0.9019,1.0022,0.8819,1.0222,0.1403
P021,R023,00204526_04,60,WRONG,good,0,飯,fàn,4,02045,00204526,1.3855,1.6265,1.3255,1.6865,0.3610
P022,R002,00202826_02,40,GOOD,good,1,年,nián,2,02028,00202826,2.0252,2.2057,1.9852,2.2457,0.2605
