dataset_index,utt_id,speaker_id,pinyin,syllable_base,tone,speaker_variety,pinyin_variety,pinyin_source,duration_seconds,mean_f0_hz,median_f0_hz,min_f0_hz,max_f0_hz,f0_range_hz,f0_start,f0_25,f0_50,f0_75,f0_end,slope_start_to_mid,slope_mid_to_end,voiced_proportion,slope_start_to_mid_hz_per_s,slope_mid_to_end_hz_per_s,f0_sd_hz,voiced_frames,total_frames,flags
18,SSB00050032,SSB0005,jiang1,jiang,1,mainland,mainland,corpus,0.28,262.763,258.543,255.435,284.362,28.9267,257.554,256.304,283.73,266.647,258.443,14.5718,-14.0528,0.87234,227.622,-219.887,8.80593,41,47,
38,SSB00050050,SSB0005,wei2,wei,2,mainland,mainland,corpus,0.3,216.878,215.268,212.505,225.05,12.545,213.227,212.681,215.17,219.483,223.824,1.25671,5.46116,1,15.5487,69.2313,3.92294,51,51,
43,SSB00050076,SSB0005,dai4,dai,4,mainland,mainland,corpus,0.2,302.058,301.976,282.156,330.765,48.6091,324.102,306.112,301.976,295.179,285.172,-20.4026,-16.5206,0.806452,-368.764,-280.072,12.4075,25,31,
56,SSB00050085,SSB0005,ye2,ye,2,mainland,mainland,corpus,0.22,252.707,248.745,234.847,308.175,73.3286,300.458,251.425,248.745,241.895,234.894,-39.6357,-12.0226,1,-626.824,-167.887,19.6332,34,34,
61,SSB00050089,SSB0005,ta1,ta,1,mainland,mainland,corpus,0.22,295.584,288.704,274.876,324.281,49.4057,322.082,316.061,288.704,277.37,275.014,-44.5658,-19.7892,0.529412,-785.365,-322.12,19.7726,18,34,
73,SSB00050096,SSB0005,hui4,hui,4,mainland,mainland,corpus,0.44,274.28,271.296,253.683,322.671,68.9871,285.994,272.287,256.404,260.711,293.349,-9.69654,11.9507,0.886076,-151.746,189.461,17.2751,70,79,
82,SSB00050105,SSB0005,lai2,lai,2,mainland,mainland,corpus,0.22,244.862,239.111,235.148,307.951,72.8031,288.544,241.907,239.111,236.986,236.582,-39.4345,-2.23122,1,-599.191,-30.6535,16.8594,34,34,
90,SSB03380365,SSB0338,wei4,wei,4,mainland,mainland,corpus,0.22,273.392,276.175,236.783,301.42,64.6372,238.928,254.1,299.502,287.559,269.775,47.4168,-21.9357,1,734.233,-360.325,21.017,34,34,
117,SSB03380390,SSB0338,wo3,wo,3,mainland,mainland,corpus,0.34,247.45,235.225,204.4,338.939,134.538,325.961,276.383,235.225,209.432,209.577,-64.5477,-22.8423,0.610169,-1036.99,-293.115,40.3675,36,59,
125,SSB03380403,SSB0338,jiu4,jiu,4,mainland,mainland,corpus,0.16,320.216,319.865,291.226,358.398,67.1718,357.964,320.84,319.865,310.221,295.012,-45.8406,-32.9478,0.782609,-896.452,-584.78,19.7625,18,23,
138,SSB03380413,SSB0338,dui4,dui,4,mainland,mainland,corpus,0.3,247.696,233.226,197.888,327.37,129.482,199.121,211.03,230.645,302.369,285.538,20.3546,29.5689,1,252.19,439.144,41.8371,51,51,
142,SSB03380414,SSB0338,you3,you,3,mainland,mainland,corpus,0.28,249.977,256.944,191.549,282.374,90.8252,246.51,264.48,271.275,238.295,197.989,14.4117,-47.4091,1,215.351,-637.272,25.05,47,47,
144,SSB03380414,SSB0338,zai4,zai,4,mainland,mainland,corpus,0.22,244.091,231.02,213.04,285.285,72.2456,219.781,216.356,229.03,284.125,262.9,8.65022,28.9421,0.852941,112.11,410.544,28.2665,29,34,
162,SSB03380431,SSB0338,ni2,ni,2,mainland,mainland,corpus,0.14,243.192,241.993,229.31,267.006,37.6964,242.613,231.81,237.004,249.291,258.752,-8.9993,33.7759,1,-124.651,483.292,10.6456,19,19,
168,SSB03380433,SSB0338,mai3,mai,3,mainland,mainland,corpus,0.24,280.704,286.866,248.457,294.023,45.5653,283.684,288.879,293.689,273.307,252.256,10.0009,-43.8798,0.641026,166.751,-690.546,14.1016,25,39,
188,SSB03380464,SSB0338,zai4,zai,4,mainland,mainland,corpus,0.18,276.052,275.143,230.386,321.908,91.522,273.947,308.939,289.812,263.659,234.617,14.9941,-56.2719,1,244.07,-849.143,23.9419,27,27,
195,SSB00120081,SSB0012,shi4,shi,4,mainland,mainland,corpus,0.96,244.409,240.216,197.619,289.879,92.26,219.136,243.682,243.682,289.784,285.198,4.06202,6.01904,0.225275,54.2447,91.7495,29.4621,41,182,low_voicing
201,SSB00120090,SSB0012,xiang4,xiang,4,mainland,mainland,corpus,0.2,275.745,271.819,260.343,306.059,45.7157,300.282,280.468,271.819,264.69,262.507,-43.1021,-15.0861,0.548387,-711.584,-232.784,14.5898,17,31,
214,SSB00120111,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.14,234.243,235.137,231.384,236.136,4.75159,232.047,234.048,235.541,235.775,233.595,7.39281,-4.10263,0.789474,99.834,-55.587,1.72193,15,19,
225,SSB00120125,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.34,249.989,247.178,229.015,291.109,62.0936,269.816,238.873,233.322,265.912,256.677,-17.3511,11.3904,0.881356,-251.689,161.072,15.7306,52,59,
236,SSB00120141,SSB0012,dao4,dao,4,mainland,mainland,corpus,0.18,281.709,282.4,272.362,288.062,15.7002,287.499,287.646,282.4,276.562,273.405,-6.19577,-11.2079,0.777778,-101.975,-179.896,5.42054,21,27,
242,SSB00120142,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.32,240.116,232.914,216.632,285.504,68.8718,238.456,223.638,225.325,270.15,252.944,-7.26315,14.8276,0.854545,-97.2604,204.585,19.1202,47,55,
255,SSB00120158,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.28,222.541,215.842,210.878,242.748,31.8697,214.859,215.53,241.128,234.656,216.04,17.3644,-16.539,0.829787,228.426,-218.154,10.1648,39,47,
260,SSB00120174,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.18,212.612,211.566,209.7,226.076,16.3759,220.835,212.211,210.733,211.259,210.357,-14.7394,-0.561113,0.851852,-183.681,-6.82401,3.82262,23,27,
266,SSB00120180,SSB0012,wo2,wo,2,mainland,mainland,corpus,0.18,234.338,235.941,225.527,243.206,17.6792,226.394,229.928,235.941,237.677,241.676,14.301,8.31587,0.777778,190.931,114.705,5.25063,21,27,
284,SSB00050119,SSB0005,rang4,rang,4,mainland,mainland,corpus,0.34,248.9,244.609,221.596,272.511,50.915,222.22,231.105,244.609,271.591,266.002,11.4607,10.0108,1,154.401,147.543,19.3993,59,59,
324,SSB00050152,SSB0005,ye3,ye,3,mainland,mainland,corpus,0.44,237.47,232.811,210.013,271.845,61.8322,269.634,250.585,232.811,227.098,211.642,-13.0366,-8.46361,1,-188.837,-108.559,18.3453,79,79,
329,SSB00050157,SSB0005,zai4,zai,4,mainland,mainland,corpus,0.2,269.433,270.792,249.549,285.609,36.0603,253.869,261.915,270.792,280.634,278.346,14.8963,6.35082,1,225.643,100.716,12.1636,31,31,
344,SSB00050184,SSB0005,lai2,lai,2,mainland,mainland,corpus,0.22,250.08,241.731,232.096,301.066,68.9698,295.915,258.805,241.731,232.636,234.075,-43.767,-6.96477,0.970588,-677.3,-95.7004,20.9719,33,34,
352,SSB00050196,SSB0005,er2,er,2,mainland,mainland,corpus,0.2,218.872,240.023,117.965,255.918,137.953,118.627,235.868,240.023,244.426,252.114,195.214,13.6139,0.83871,1942.33,193.462,50.1981,26,31,octave_span|frame_jump
363,SSB00050197,SSB0005,zai4,zai,4,mainland,mainland,corpus,0.22,299.688,298.214,284.188,323.293,39.1048,315.692,306.494,298.214,292.795,287.037,-17.1486,-11.5014,0.705882,-303.968,-194.381,9.97852,24,34,
366,SSB00050197,SSB0005,yao4,yao,4,mainland,mainland,corpus,0.28,249.766,253.035,235.143,264.553,29.4105,236.88,236.955,253.035,263.25,258.222,9.93153,3.05486,1,140.473,45.1056,11.2761,47,47,
374,SSB03390065,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.14,163.635,193.842,93.0354,197.902,104.867,95.0678,95.5768,196.196,197.165,193.306,278.737,-5.70776,1,2247.29,-64.2069,47.9746,19,19,octave_span|frame_jump
377,SSB03390066,SSB0339,zai4,zai,4,mainland,mainland,corpus,0.14,276.627,271.008,258.194,316.892,58.6979,303.394,283.94,270.078,264.885,260.116,-57.5376,-18.5899,0.789474,-951.895,-284.627,16.9444,15,19,
382,SSB03390070,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.14,200.759,200.646,196.872,202.848,5.97554,199.565,199.928,200.394,202.307,202.658,2.87083,7.78024,0.578947,33.1617,90.5656,1.81358,11,19,
385,SSB03390070,SSB0339,hen3,hen,3,mainland,mainland,corpus,0.18,210.104,214.641,185.068,224.961,39.8936,223.749,216.314,214.641,206.91,185.369,-11.0686,-39.0517,1,-140.122,-450.348,11.7201,27,27,
388,SSB03390072,SSB0339,bei4,bei,4,mainland,mainland,corpus,0.14,133.889,134.3,124.028,140.921,16.8934,139.449,138.437,134.3,131.47,126.402,-20.0404,-32.2843,0.736842,-158.424,-243.006,5.49254,14,19,
405,SSB03390091,SSB0339,jiu4,jiu,4,mainland,mainland,corpus,0.16,137.24,137.988,133.314,139.347,6.03276,139.243,139.13,137.988,135.654,134.324,-6.26896,-18.6337,0.478261,-50.1935,-146.539,2.1936,11,23,
414,SSB03390093,SSB0339,yong4,yong,4,mainland,mainland,corpus,0.14,131.497,133.264,124.743,137.285,12.5417,125.048,125.63,133.264,136.638,135.521,24.4813,6.45905,1,182.577,50.1392,5.00076,19,19,
417,SSB03390096,SSB0339,lai2,lai,2,mainland,mainland,corpus,0.16,215.158,215.926,204.225,217.944,13.7185,212.867,214.801,215.172,217.322,217.437,4.14361,4.02771,0.826087,51.2239,50.3228,3.15059,19,23,
469,SSB03390131,SSB0339,ye3,ye,3,mainland,mainland,corpus,0.16,223.13,216.583,199.056,248.572,49.516,234.72,237.794,215.239,215.96,200.384,-27.273,-22.5105,1,-354.199,-270.093,13.6899,23,23,
474,SSB03390132,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.12,248.453,205.084,198.606,361.183,162.577,348.28,346.506,201.356,202.085,206.346,-291.878,13.041,0.928571,-4520.76,153.549,70.9595,13,14,
477,SSB03390132,SSB0339,wo2,wo,2,mainland,mainland,corpus,0.16,188.286,187.173,182.472,198.625,16.1534,182.689,183.503,187.173,192.206,196.954,7.63267,16.0342,1,81.5283,177.845,5.25125,23,23,
486,SSB03390151,SSB0339,hai2,hai,2,mainland,mainland,corpus,0.2,215.458,214.315,188.179,233.658,45.479,225.822,230.134,206.581,210.86,193.844,-20.5565,-14.6895,0.741935,-256.546,-169.823,13.9797,23,31,
500,SSB03390174,SSB0339,lai2,lai,2,mainland,mainland,corpus,0.16,70.4688,67.3396,61.2234,85.6073,24.3838,61.3999,84.1595,66.0463,67.3396,68.0489,26.5871,10.8871,0.869565,97.8183,42.1605,8.55185,20,23,
505,SSB03390181,SSB0339,ye3,ye,3,mainland,mainland,corpus,0.14,197.601,198.829,188.6,214.359,25.7589,210.487,200.093,198.829,189.17,192.399,-21.9215,-12.6464,1,-259.076,-142.88,8.16339,19,19,
512,SSB03390186,SSB0339,lai2,lai,2,mainland,mainland,corpus,0.18,209.838,209.373,207.956,215.163,7.20717,209.664,208.317,208.206,210.611,213.433,-3.02146,10.7314,0.62963,-36.4645,130.674,2.06433,17,27,
518,SSB03390189,SSB0339,cong2,cong,2,mainland,mainland,corpus,0.16,227.89,225.291,203.682,256.782,53.0998,251.235,245.321,225.291,210.617,205.899,-68.6173,-56.6648,0.521739,-943.42,-705.185,19.1395,12,23,
523,SSB03390190,SSB0339,hao3,hao,3,mainland,mainland,corpus,0.32,152.018,179.414,83.0777,219.594,136.516,83.3032,84.1765,199.845,199.845,179.309,112.217,-13.9056,0.454545,863.273,-152.123,53.2238,25,55,octave_span
