trial_id,token_id,is_repeat,rms_relative_db,local_snr_db,alignment_score,duration_seconds,voiced_proportion,alignment_status,word,expected_pinyin,expected_tone,initial_class,speaker_id,utterance_id,majority_tone_correct
Q001,00201014_07,0,4.5063,30.9163,0.8878,0.2209,0.771,good,花,huā,1,fricative,02010,00201014,1
Q002,00202426_07,0,1.0102,28.5095,0.8893,0.2606,0.605,good,餐,cān,1,aspirated_obstruent,02024,00202426,1
Q003,00202518_06,0,2.1535,26.8343,0.9374,0.2409,0.564,good,穿,chuān,1,aspirated_obstruent,02025,00202518,1
Q004,00204426_07,0,-1.6122,30.6736,0.9885,0.2609,0.372,good,餐,cān,1,aspirated_obstruent,02044,00204426,1
Q005,00200814_03,0,1.6072,29.1778,0.9481,0.2612,1.000,good,名,míng,2,sonorant_or_zero,02008,00200814,1
Q006,00203711_06,0,-7.3278,15.7510,0.9893,0.1407,0.789,good,福,fú,2,fricative,02037,00203711,1
Q007,00202829_10,0,-1.9281,25.7814,0.8254,0.1002,0.727,good,就,jiù,4,unaspirated_obstruent,02028,00202829,1
Q008,00202426_02,0,-4.8170,21.4469,0.9534,0.2005,1.000,good,年,nián,2,sonorant_or_zero,02024,00202426,1
Q009,00202120_00,0,-0.0656,26.1138,0.9848,0.1001,1.000,good,裡,lǐ,3,sonorant_or_zero,02021,00202120,1
Q010,00202320_05,0,3.2840,29.9313,0.9772,0.1406,0.684,good,祝,zhù,4,unaspirated_obstruent,02023,00202320,1
Q011,00201114_07,0,7.8141,37.1592,0.6407,0.1605,0.609,good,花,huā,1,fricative,02011,00201114,1
Q012,00201320_13,0,0.6061,24.6731,0.8880,0.0601,1.000,good,一,yī,1,sonorant_or_zero,02013,00201320,0
Q013,00202328_03,0,2.8366,29.1182,0.8721,0.2408,1.000,good,年,nián,2,sonorant_or_zero,02023,00202328,1
Q014,00201620_00,0,3.1119,36.3342,0.8013,0.1002,1.000,good,裡,lǐ,3,sonorant_or_zero,02016,00201620,1
Q015,00204611_10,0,-4.4083,21.1684,0.9924,0.1607,0.391,good,福,fú,2,fricative,02046,00204611,1
Q016,00200314_00,0,-3.5763,22.8763,0.9942,0.2609,0.721,good,小,xiǎo,3,fricative,02003,00200314,1
