case,expected_tone,file_sample_rate,accepted_by_input_layer,trajectory_available,processing_completed,raw_score,decision,decision_reason,failure_code,exception
normal_valid_wav,1,16000,YES,YES,YES,0.418525,RETRY,tone_not_enabled,,
mono_16k,1,16000,YES,YES,YES,0.418525,RETRY,tone_not_enabled,,
stereo_input,1,16000,YES,NO,YES,,RETRY,trajectory_unavailable,multichannel_input,
digital_silence,2,16000,YES,NO,YES,,RETRY,trajectory_unavailable,insufficient_voiced_frames,
very_short_10ms,1,16000,YES,NO,YES,,RETRY,trajectory_unavailable,too_short_for_pitch,
empty_audio,1,16000,YES,NO,YES,,RETRY,trajectory_unavailable,too_short_for_pitch,
clipped_waveform,1,16000,YES,YES,YES,0.418054,RETRY,tone_not_enabled,,
very_low_amplitude,1,16000,YES,YES,YES,0.418525,RETRY,tone_not_enabled,,
very_high_amplitude,1,16000,YES,YES,YES,0.418525,RETRY,tone_not_enabled,,
sample_rate_8000,1,8000,YES,YES,YES,0.443864,RETRY,tone_not_enabled,,
sample_rate_44100,1,44100,YES,YES,YES,0.415709,RETRY,tone_not_enabled,,
sample_rate_48000,1,48000,YES,YES,YES,0.656886,RETRY,tone_not_enabled,,
white_noise_unvoiced,2,16000,YES,NO,YES,,RETRY,trajectory_unavailable,insufficient_voiced_frames,
dc_offset_constant,2,16000,YES,NO,YES,,RETRY,trajectory_unavailable,insufficient_voiced_frames,
corrupted_file,2,,NO,NO,NO,,RETRY,input_rejected,unreadable_input,LibsndfileError
unsupported_file,2,,NO,NO,NO,,RETRY,input_rejected,unreadable_input,LibsndfileError
missing_file,2,,NO,NO,NO,,RETRY,input_rejected,unreadable_input,LibsndfileError
nan_samples,2,16000,YES,NO,YES,,RETRY,trajectory_unavailable,insufficient_voiced_frames,
inf_samples,2,16000,YES,NO,YES,,RETRY,trajectory_unavailable,insufficient_voiced_frames,
