ref_id,transformation,trajectory_max_delta_st,trajectory_tolerance_st,score_delta,score_tolerance,baseline_decision,variant_decision,within_tolerance,decision_preserved,baseline_voiced_frames,variant_voiced_frames,baseline_span_ms,variant_span_ms,span_changed,baseline_first_f0,variant_first_f0
REF_00100114_01,amplitude_x0.8,3.11084136228601e-09,0.05,1.8111423472078059e-10,0.01,RETRY,RETRY,True,True,23,23,110.0,110.0,False,189.12472347794326,189.12472347338067
REF_00100114_01,amplitude_x1.2,3.5663987318912405e-09,0.05,3.7300534883044634e-10,0.01,RETRY,RETRY,True,True,23,23,110.0,110.0,False,189.12472347794326,189.12472348528115
REF_00100114_01,leading_silence_100ms,10.897075458366515,0.25,0.49087628781643194,0.05,RETRY,RETRY,False,True,23,29,110.0,140.0,True,189.12472347794326,354.09827522182474
REF_00100114_01,trailing_silence_100ms,0.6144146045735965,0.25,0.04149055397767831,0.05,RETRY,RETRY,False,True,23,29,110.0,140.0,True,189.12472347794326,189.11647438020998
REF_00100114_01,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True,23,23,110.0,110.0,False,189.12472347794326,189.12472347794326
REF_00100114_07,amplitude_x0.8,4.41934844275238e-09,0.05,1.7288515063995646e-10,0.01,RETRY,RETRY,True,True,8,8,35.0,35.0,False,221.07857575296543,221.07857574591142
REF_00100114_07,amplitude_x1.2,2.3061801357471268e-09,0.05,1.1745737715784799e-10,0.01,RETRY,RETRY,True,True,8,8,35.0,35.0,False,221.07857575296543,221.078575708483
REF_00100114_07,leading_silence_100ms,1.4210854715202004e-14,0.25,2.7755575615628914e-16,0.05,RETRY,RETRY,True,True,8,8,35.0,35.0,False,221.07857575296543,221.07857575296543
REF_00100114_07,trailing_silence_100ms,0.4701375978581268,0.25,0.009908817804021475,0.05,RETRY,RETRY,False,True,8,14,35.0,65.0,True,221.07857575296543,221.07857575296543
REF_00100114_07,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True,8,8,35.0,35.0,False,221.07857575296543,221.07857575296543
REF_00100114_08,amplitude_x0.8,5.298076644066896e-09,0.05,3.036355056273976e-10,0.01,RETRY,RETRY,True,True,13,13,60.0,60.0,False,241.49129989896437,241.49130000009043
REF_00100114_08,amplitude_x1.2,9.79163417014206e-09,0.05,3.851591268144716e-10,0.01,RETRY,RETRY,True,True,13,13,60.0,60.0,False,241.49129989896437,241.49129991849736
REF_00100114_08,leading_silence_100ms,0.006526719147075255,0.25,5.0819462441897834e-05,0.05,RETRY,RETRY,True,True,13,13,60.0,60.0,False,241.49129989896437,241.58175259747318
REF_00100114_08,trailing_silence_100ms,0.32277495142948,0.25,0.007881296607505972,0.05,RETRY,RETRY,False,True,13,19,60.0,90.0,True,241.49129989896437,241.58175259747318
REF_00100114_08,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True,13,13,60.0,60.0,False,241.49129989896437,241.49129989896437
REF_00100114_03,amplitude_x0.8,3.574669449335488e-09,0.05,4.3399517313247316e-10,0.01,PASS,PASS,True,True,27,27,130.0,130.0,False,202.7350589582341,202.7350589166005
