ref_id,transformation,trajectory_max_delta_st,trajectory_tolerance_st,score_delta,score_tolerance,baseline_decision,variant_decision,within_tolerance,decision_preserved
REF_00100114_01,amplitude_x0.8,3.11084136228601e-09,0.05,1.8111423472078059e-10,0.01,RETRY,RETRY,True,True
REF_00100114_01,amplitude_x1.2,3.5663987318912405e-09,0.05,3.7300534883044634e-10,0.01,RETRY,RETRY,True,True
REF_00100114_01,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_01,resample_44100_roundtrip,0.0016912644936724064,1.0,6.169445934262052e-05,0.05,RETRY,RETRY,True,True
REF_00100114_01,resample_48000_roundtrip,0.00011095047238995903,1.0,1.3260208042153998e-05,0.05,RETRY,RETRY,True,True
REF_00100114_01,opus_48k_browser_style,0.020217624660475053,3.0,0.0005105376331716038,0.15,RETRY,RETRY,True,True
REF_00100114_07,amplitude_x0.8,4.41934844275238e-09,0.05,1.7288515063995646e-10,0.01,RETRY,RETRY,True,True
REF_00100114_07,amplitude_x1.2,2.3061801357471268e-09,0.05,1.1745737715784799e-10,0.01,RETRY,RETRY,True,True
REF_00100114_07,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_07,resample_44100_roundtrip,0.0013757222087917853,1.0,2.988070950299404e-05,0.05,RETRY,RETRY,True,True
REF_00100114_07,resample_48000_roundtrip,0.00011106815790640212,1.0,2.0331958919261872e-06,0.05,RETRY,RETRY,True,True
REF_00100114_07,opus_48k_browser_style,0.023555107520124352,3.0,0.0006334110861650477,0.15,RETRY,RETRY,True,True
REF_00100114_08,amplitude_x0.8,5.298076644066896e-09,0.05,3.036355056273976e-10,0.01,RETRY,RETRY,True,True
REF_00100114_08,amplitude_x1.2,9.79163417014206e-09,0.05,3.851591268144716e-10,0.01,RETRY,RETRY,True,True
REF_00100114_08,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100114_08,resample_44100_roundtrip,0.00024884534337843434,1.0,1.0395246292316251e-05,0.05,RETRY,RETRY,True,True
REF_00100114_08,resample_48000_roundtrip,0.0001504418155491294,1.0,8.645928548212112e-06,0.05,RETRY,RETRY,True,True
REF_00100114_08,opus_48k_browser_style,0.013367582567212821,3.0,1.7499069238924303e-05,0.15,RETRY,RETRY,True,True
REF_00100114_03,amplitude_x0.8,3.574669449335488e-09,0.05,4.3399517313247316e-10,0.01,PASS,PASS,True,True
REF_00100114_03,amplitude_x1.2,4.315666046750266e-09,0.05,3.1416880208468e-10,0.01,PASS,PASS,True,True
REF_00100114_03,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,PASS,PASS,True,True
REF_00100114_03,resample_44100_roundtrip,0.0011608503641866719,1.0,3.573461402445188e-05,0.05,PASS,PASS,True,True
REF_00100114_03,resample_48000_roundtrip,3.949279717119225e-05,1.0,3.056686198821268e-06,0.05,PASS,PASS,True,True
REF_00100114_03,opus_48k_browser_style,0.028523256875118363,3.0,0.003374300417905207,0.15,PASS,PASS,True,True
REF_00100117_03,amplitude_x0.8,5.872209385415772e-09,0.05,1.590710896337555e-11,0.01,RETRY,RETRY,True,True
REF_00100117_03,amplitude_x1.2,2.610590854601469e-09,0.05,1.1266482191629734e-10,0.01,RETRY,RETRY,True,True
REF_00100117_03,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,RETRY,RETRY,True,True
REF_00100117_03,resample_44100_roundtrip,0.002515150974844005,1.0,0.00018323003116632597,0.05,RETRY,RETRY,True,True
REF_00100117_03,resample_48000_roundtrip,0.00016555721161637393,1.0,2.3569734008965781e-07,0.05,RETRY,RETRY,True,True
REF_00100117_03,opus_48k_browser_style,0.05802175718721969,3.0,0.00962902660846976,0.15,RETRY,RETRY,True,True
REF_00100120_15,amplitude_x0.8,3.987949526162993e-09,0.05,2.386328912251656e-10,0.01,PASS,PASS,True,True
REF_00100120_15,amplitude_x1.2,5.715662609873107e-09,0.05,5.685696358170844e-11,0.01,PASS,PASS,True,True
REF_00100120_15,lossless_wav_rewrite,0.0,1e-09,0.0,1e-09,PASS,PASS,True,True
REF_00100120_15,resample_44100_roundtrip,0.006193985756226539,1.0,0.00014329323193124077,0.05,PASS,PASS,True,True
REF_00100120_15,resample_48000_roundtrip,0.0002709079635252465,1.0,2.788924366559087e-06,0.05,PASS,PASS,True,True
REF_00100120_15,opus_48k_browser_style,0.38512192812640933,3.0,0.020802319865138974,0.15,PASS,PASS,True,True
