ref_id,tone,reference_duration_ms,study_duration_ms,trajectory_delta_st,reference_score,study_score,score_delta,reference_decision,study_decision
REF_00100114_01,1,160.9375,160.9375,6.96467390213229e-05,0.41852527678881296,0.4185189219154014,6.354873411551498e-06,RETRY,RETRY
REF_00100114_07,1,100.625,100.625,4.6235502082936364e-05,0.47622679510727484,0.4762250617602403,1.7333470345159974e-06,RETRY,RETRY
REF_00100114_08,1,120.6875,120.6875,0.00011874262256128532,0.4827217000199915,0.4827172581940694,4.441825922074649e-06,RETRY,RETRY
REF_00100114_03,2,181.0625,181.0625,4.706546451416216e-05,0.41178095996027414,0.41178561362276095,4.653662486808763e-06,PASS,PASS
REF_00100117_03,2,202.5,202.5,9.139728523166468e-05,0.45189832024162957,0.45190211674595643,3.7965043268584076e-06,RETRY,RETRY
REF_00100120_15,2,321.0,321.0,0.00010685232412299683,0.31313983147841123,0.31313890381468895,9.276637222832562e-07,PASS,PASS
REF_00100114_00,3,181.0625,181.0625,0.00023421833112990953,0.5143164494044976,0.5142927119577051,2.373744679251555e-05,RETRY,RETRY
REF_00100120_00,3,100.3125,100.3125,0.0008570005803534286,0.5502830667824993,0.5502716320101709,1.1434772328344778e-05,RETRY,RETRY
REF_00100120_05,3,180.5625,180.5625,3.732963092772934e-05,0.3494851997361102,0.34948257493001017,2.6248061000266887e-06,PASS,PASS
REF_00100114_04,4,100.5625,100.5625,0.5465368347310289,0.4081592734629782,0.4729330880506373,0.06477381458765907,PASS,RETRY
REF_00100114_06,4,120.6875,120.6875,0.0013949000778268328,0.47472088352873704,0.47467526816866507,4.561536007197109e-05,RETRY,RETRY
REF_00100117_01,4,121.5,121.5,nan,,,nan,RETRY,RETRY
