Question ID,Word Key,Source Type,Chapter,Section,Item,Traditional Chinese,Pinyin,POS,English Meaning,Round,Question Type,Input Mode,Prompt,Option A,Option B,Option C,Option D,Correct Option,Correct Answer,Accepted Answers
Q0001,C5-5-1-I1-W001,Vocabulary,5,5-1,1,錢包,qiánbāo,N,wallet; purse,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「錢包」.,half,kitchen,the front; the front side; ahead; in front,wallet; purse,D,wallet; purse,
Q0002,C5-5-1-I1-W001,Vocabulary,5,5-1,1,錢包,qiánbāo,N,wallet; purse,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「錢包」 (tone marks or tone numbers are accepted).,,,,,,qiánbāo,qiánbāo | qian2bao1 | qian2 bao1
Q0003,C5-5-1-I1-W001,Vocabulary,5,5-1,1,錢包,qiánbāo,N,wallet; purse,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 李小姐的____是紅色的。,那裡,錢包,這裡,音樂,B,錢包,錢包
Q0004,C5-5-1-I2-W002,Vocabulary,5,5-1,2,在,zài,Vst/Prep,(to be located) at; in; on,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「在」.,ice cream,(to be located) at; in; on,music,to listen,B,(to be located) at; in; on,
Q0005,C5-5-1-I2-W002,Vocabulary,5,5-1,2,在,zài,Vst/Prep,(to be located) at; in; on,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「在」 (tone marks or tone numbers are accepted).,,,,,,zài,zài | zai4
Q0006,C5-5-1-I2-W002,Vocabulary,5,5-1,2,在,zài,Vst/Prep,(to be located) at; in; on,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他____學校，不在家。,幫,巧克力,在,沙發,C,在,在
Q0007,C5-5-1-I3-W003,Vocabulary,5,5-1,3,哪裡/哪兒,nǎlǐ/nǎr,N,where,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「哪裡/哪兒」.,outside,bird,half,where,D,where,
Q0008,C5-5-1-I3-W003,Vocabulary,5,5-1,3,哪裡/哪兒,nǎlǐ/nǎr,N,where,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「哪裡/哪兒」 (tone marks or tone numbers are accepted).,,,,,,nǎlǐ/nǎr,nǎlǐ/nǎr | na3li3/nar3 | na3 li3 | nar3 | na3 li3/nar3 | nǎr | nǎlǐ | na3li3
Q0009,C5-5-1-I3-W003,Vocabulary,5,5-1,3,哪裡/哪兒,nǎlǐ/nǎr,N,where,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我的錢包在____？,哪裡,咖啡廳,巧克力,冰淇淋,A,哪裡,哪裡 | 哪兒
Q0010,C5-5-1-I4-W004,Vocabulary,5,5-1,4,聽,tīng,V,to listen,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「聽」.,to look for,to listen,door,to help,B,to listen,
Q0011,C5-5-1-I4-W004,Vocabulary,5,5-1,4,聽,tīng,V,to listen,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「聽」 (tone marks or tone numbers are accepted).,,,,,,tīng,tīng | ting1
Q0012,C5-5-1-I4-W004,Vocabulary,5,5-1,4,聽,tīng,V,to listen,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我喜歡____音樂。,上面,聽,找,幫,B,聽,聽
Q0013,C5-5-1-I5-W005,Vocabulary,5,5-1,5,音樂,yīnyuè,N,music,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「音樂」.,where,chocolate,music,elder brother,C,music,
Q0014,C5-5-1-I5-W005,Vocabulary,5,5-1,5,音樂,yīnyuè,N,music,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「音樂」 (tone marks or tone numbers are accepted).,,,,,,yīnyuè,yīnyuè | yin1yue4 | yin1 yue4
Q0015,C5-5-1-I5-W005,Vocabulary,5,5-1,5,音樂,yīnyuè,N,music,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我喜歡聽____。,下午茶,半,那裡,音樂,D,音樂,音樂
Q0016,C5-5-1-I6-W006,Vocabulary,5,5-1,6,有空,yǒukòng,Vs,free; at leisure; available,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「有空」.,free; at leisure; available,here,TV (television),not bad,A,free; at leisure; available,
Q0017,C5-5-1-I6-W006,Vocabulary,5,5-1,6,有空,yǒukòng,Vs,free; at leisure; available,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「有空」 (tone marks or tone numbers are accepted).,,,,,,yǒukòng,yǒukòng | you3kong4 | you3 kong4
Q0018,C5-5-1-I6-W006,Vocabulary,5,5-1,6,有空,yǒukòng,Vs,free; at leisure; available,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你週末____嗎？,跟,有空,不錯,房間,B,有空,有空
Q0019,C5-5-1-I7-W007,Vocabulary,5,5-1,7,下午茶,xiàwǔ chá,N,afternoon tea,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「下午茶」.,kitchen,below; under; underneath,afternoon tea,café,C,afternoon tea,
Q0020,C5-5-1-I7-W007,Vocabulary,5,5-1,7,下午茶,xiàwǔ chá,N,afternoon tea,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「下午茶」 (tone marks or tone numbers are accepted).,,,,,,xiàwǔ chá,xiàwǔ chá | xia4wu3 cha2 | xia4 wu3 cha2
Q0021,C5-5-1-I7-W007,Vocabulary,5,5-1,7,下午茶,xiàwǔ chá,N,afternoon tea,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我們下午一起喝____。,音樂,下午茶,巧克力,半,B,下午茶,下午茶
Q0022,C5-5-1-I8-W008,Vocabulary,5,5-1,8,不錯,búcuò,Vs,not bad,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「不錯」.,not bad,bed,free; at leisure; available,kitchen,A,not bad,
Q0023,C5-5-1-I8-W008,Vocabulary,5,5-1,8,不錯,búcuò,Vs,not bad,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「不錯」 (tone marks or tone numbers are accepted).,,,,,,búcuò,búcuò | bu2cuo4 | bu2 cuo4
Q0024,C5-5-1-I8-W008,Vocabulary,5,5-1,8,不錯,búcuò,Vs,not bad,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這本書很____。,不錯,前面,客廳,有空,A,不錯,不錯
Q0025,C5-5-1-I9-W009,Vocabulary,5,5-1,9,咖啡廳,kāfēitīng,N,café,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「咖啡廳」.,café,inside; in,here,there,A,café,
Q0026,C5-5-1-I9-W009,Vocabulary,5,5-1,9,咖啡廳,kāfēitīng,N,café,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「咖啡廳」 (tone marks or tone numbers are accepted).,,,,,,kāfēitīng,kāfēitīng | ka1fei1ting1 | ka1 fei1 ting1
Q0027,C5-5-1-I9-W009,Vocabulary,5,5-1,9,咖啡廳,kāfēitīng,N,café,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我喜歡去____看書。,下午茶,錢包,咖啡廳,冰淇淋,C,咖啡廳,咖啡廳
Q0028,C5-5-1-I10-W010,Vocabulary,5,5-1,10,那裡/那兒,nàlǐ/nàr,N,there,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「那裡/那兒」.,elder brother,table,afternoon tea,there,D,there,
Q0029,C5-5-1-I10-W010,Vocabulary,5,5-1,10,那裡/那兒,nàlǐ/nàr,N,there,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「那裡/那兒」 (tone marks or tone numbers are accepted).,,,,,,nàlǐ/nàr,nàr | nar4 | nàlǐ | na4li3 | na4 li3 | nàlǐ/nàr | na4li3/nar4 | na4 li3/nar4
Q0030,C5-5-1-I10-W010,Vocabulary,5,5-1,10,那裡/那兒,nàlǐ/nàr,N,there,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那家飲料店的飲料很好喝，我們去____買。,錢包,那裡,冰淇淋,下午茶,B,那裡,那裡 | 那兒
Q0031,C5-5-1-I10-W011,Vocabulary,5,5-1,10,這裡/這兒,zhèlǐ/zhèr,N,here,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「這裡/這兒」.,here,cat,ice cream,younger sister,A,here,
Q0032,C5-5-1-I10-W011,Vocabulary,5,5-1,10,這裡/這兒,zhèlǐ/zhèr,N,here,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「這裡/這兒」 (tone marks or tone numbers are accepted).,,,,,,zhèlǐ/zhèr,zhèlǐ/zhèr | zhe4li3/zher4 | zhe4 li3 | zher4 | zhe4 li3/zher4 | zhèlǐ | zhe4li3 | zhèr
Q0033,C5-5-1-I10-W011,Vocabulary,5,5-1,10,這裡/這兒,zhèlǐ/zhèr,N,here,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我在學校，你要來____嗎？,錢包,咖啡廳,這裡,那裡,C,這裡,這裡 | 這兒
Q0034,C5-5-1-I11-W012,Vocabulary,5,5-1,11,冰淇淋,bīngqílín,N,ice cream,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「冰淇淋」.,above; over; on top of; on the surface of,café,living room,ice cream,D,ice cream,
Q0035,C5-5-1-I11-W012,Vocabulary,5,5-1,11,冰淇淋,bīngqílín,N,ice cream,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「冰淇淋」 (tone marks or tone numbers are accepted).,,,,,,bīngqílín,bīngqílín | bing1qi2lin2 | bing1 qi2 lin2
Q0036,C5-5-1-I11-W012,Vocabulary,5,5-1,11,冰淇淋,bīngqílín,N,ice cream,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我和朋友常常一起去吃____。,錢包,音樂,冰淇淋,巧克力,C,冰淇淋,冰淇淋
Q0037,C5-5-1-I12-W013,Vocabulary,5,5-1,12,巧克力,qiǎokèlì,N,chocolate,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「巧克力」.,chocolate,elder brother,furniture,here,A,chocolate,
Q0038,C5-5-1-I12-W013,Vocabulary,5,5-1,12,巧克力,qiǎokèlì,N,chocolate,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「巧克力」 (tone marks or tone numbers are accepted).,,,,,,qiǎokèlì,qiǎokèlì | qiao3ke4li4 | qiao3 ke4 li4
Q0039,C5-5-1-I12-W013,Vocabulary,5,5-1,12,巧克力,qiǎokèlì,N,chocolate,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我很喜歡這家店的____蛋糕。,巧克力,那裡,冰淇淋,下午茶,A,巧克力,巧克力
Q0040,C5-5-1-I13-W014,Vocabulary,5,5-1,13,半,bàn,N,half,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「半」.,chocolate,half,at the back; behind,sofa,B,half,
Q0041,C5-5-1-I13-W014,Vocabulary,5,5-1,13,半,bàn,N,half,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「半」 (tone marks or tone numbers are accepted).,,,,,,bàn,bàn | ban4
