cloze | 我們去喝下午茶 (easy) | ____是你的朋友。 → 我 | 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
cloze | 我們去喝下午茶 (easy) | ____是我的休息日。 → 星期六 | 星期一 / 星期三 / 星期二
cloze | 我們去喝下午茶 (easy) | ____是我的好朋友，她很友善。 → 友美 | 小美 / 美好 / 美麗
cloze | 我們去喝下午茶 (easy) | ____是我的朋友。 → 他們 | 你們 / 它們 / 我們
cloze | 我們去喝下午茶 (easy) | ____是我的朋友。 → 你 | 他 / 做 / 友美 / 她 / 好吃 / 看書 / 週末
cloze | 我們去喝下午茶 (easy) | ____要在家看書、聽音樂。 → 我 | 他 / 你 / 她
cloze | 我們去喝下午茶 (easy) | ____！你想去哪裡？ → 好啊 | 不好 / 很好 / 還可以
cloze | 我們去喝下午茶 (easy) | ____，妳這個週末要做什麼？ → 友美 | 同事 / 家人 / 朋友
cloze | 我們去喝下午茶 (easy) | ____，我們去吧。 → 好啊 | 不去 / 不好 / 不行
cloze | 我們去喝下午茶 (easy) | ____，我明白了。 → 啊 | 哎呀 / 哦 / 嗯
cloze | 我們去喝下午茶 (easy) | 他們有____冰淇淋嗎？ → 巧克力 | 芒果 / 草莓 / 香蕉
cloze | 我們去喝下午茶 (easy) | 你在____? → 哪裡 | 什麼 / 怎麼 / 誰
cloze | 我們去喝下午茶 (easy) | 友美，妳這個____要做什麼？ → 週末 | 假期 / 冬天 / 星期一
cloze | 我們去喝下午茶 (easy) | 友美，妳這個週末要____什麼？ → 做 | 吃 / 喝 / 玩
cloze | 我們去喝下午茶 (easy) | 好啊！____想去哪裡？ → 你 | 他 / 她 / 我
cloze | 我們去喝下午茶 (easy) | 好啊！你____去哪裡？ → 想 | 可以 / 必須 / 需要
cloze | 我們去喝下午茶 (easy) | 好啊！你想____哪裡？ → 去 | 來 / 回 / 走
cloze | 我們去喝下午茶 (easy) | 好啊！你想去____？ → 哪裡 | 什麼 / 什麼時候 / 誰
cloze | 我們去喝下午茶 (easy) | 妳星期六下午____嗎？ → 有空 | 有時間 / 有空間 / 有錢
cloze | 我們去喝下午茶 (easy) | 我____一家很不錯的咖啡廳。 → 知道 | 不懂 / 不清楚 / 不知道
cloze | 我們去喝下午茶 (easy) | 我____了。 → 知道 | 不明白 / 不清楚 / 不知道
cloze | 我們去喝下午茶 (easy) | 我____去旅行。 → 想 | 必須 / 想要 / 需要
cloze | 我們去喝下午茶 (easy) | 我____去看電影。 → 要 | 必須 / 想要 / 需要
cloze | 我們去喝下午茶 (easy) | 我____在家看書、聽音樂。 → 要 | 可以 / 必須 / 需要
cloze | 我們去喝下午茶 (easy) | 我____家裡。 → 在 | 以 / 到 / 從
cloze | 我們去喝下午茶 (easy) | 我____有課。 → 下午 | 中午 / 早上 / 晚上
cloze | 我們去喝下午茶 (easy) | 我____本書。 → 有 | 不夠 / 沒有 / 缺少
cloze | 我們去喝下午茶 (easy) | 我今天____。 → 有空 | 困 / 忙 / 累
cloze | 我們去喝下午茶 (easy) | 我們____去喝下午茶，怎麼樣？ → 一起 | 分開 / 各自 / 單獨
cloze | 我們去喝下午茶 (easy) | 我們____去看電影。 → 一起 | 分開 / 各自 / 單獨
cloze | 我們去喝下午茶 (easy) | 我們____見面。 → 兩點半 | 一點 / 三點 / 四點
cloze | 我們去喝下午茶 (easy) | 我們一起去____下午茶，怎麼樣？ → 喝 | 吃 / 玩 / 看
cloze | 我們去喝下午茶 (easy) | 我們一起去喝____，怎麼樣？ → 下午茶 | 午餐 / 早餐 / 晚餐
cloze | 我們去喝下午茶 (easy) | 我們這個____下午兩點半去吧。 → 星期六 | 星期一 / 星期五 / 星期日
cloze | 我們去喝下午茶 (easy) | 我們這個星期六____兩點半去吧。 → 下午 | 中午 / 早上 / 晚上
cloze | 我們去喝下午茶 (easy) | 我們這個星期六下午____去吧。 → 兩點半 | 三點 / 五點 / 四點
cloze | 我們去喝下午茶 (easy) | 我喜歡____。 → 看書 | 玩遊戲 / 看電影 / 聽音樂
cloze | 我們去喝下午茶 (easy) | 我喜歡____。 → 聽音樂 | 玩遊戲 / 看電影 / 讀書
cloze | 我們去喝下午茶 (easy) | 我喜歡去____。 → 咖啡廳 | 商店 / 酒店 / 餐廳
cloze | 我們去喝下午茶 (easy) | 我喜歡喝____。 → 下午茶 | 午餐 / 早餐 / 晚餐
cloze | 我們去喝下午茶 (easy) | 我喜歡在____睡懶覺。 → 週末 | 假期 / 星期一 / 星期五
cloze | 我們去喝下午茶 (easy) | 我想____一杯水。 → 喝 | 吃 / 玩 / 看
cloze | 我們去喝下午茶 (easy) | 我愛吃____。 → 冰淇淋 | 冰棒 / 果汁 / 雪糕
cloze | 我們去喝下午茶 (easy) | 我愛吃____。 → 巧克力 | 糖果 / 蛋糕 / 餅乾
cloze | 我們去喝下午茶 (easy) | 我愛我的____。 → 家 | 公司 / 學校 / 醫院
cloze | 我們去喝下午茶 (easy) | 我有____書。 → 很多 | 一些 / 少 / 幾
cloze | 我們去喝下午茶 (easy) | 我知道一家很不錯的____。 → 咖啡廳 | 商店 / 酒店 / 餐廳
cloze | 我們去喝下午茶 (easy) | 我知道一家很不錯的咖啡廳，那裡的冰淇淋很____。 → 好吃 | 一般 / 不好吃 / 很難吃
cloze | 我們去喝下午茶 (easy) | 我要____一份報告。 → 做 | 吃 / 喝 / 玩
cloze | 我們去喝下午茶 (easy) | 我要____家看書、聽音樂。 → 在 | 到 / 從 / 為了
cloze | 我們去喝下午茶 (easy) | 我要____看電影。 → 去 | 來 / 回 / 走
cloze | 我們去喝下午茶 (easy) | 我要在____看書、聽音樂。 → 家 | 公司 / 圖書館 / 學校
cloze | 我們去喝下午茶 (easy) | 我要在家____、聽音樂。 → 看書 | 玩遊戲 / 看電影 / 聊天
cloze | 我們去喝下午茶 (easy) | 我要在家看書、____。 → 聽音樂 | 看電視 / 練習 / 聽廣播
cloze | 我們去喝下午茶 (easy) | 有____！他們有很多種冰淇淋。 → 啊 | 哇 / 哦 / 嗯
cloze | 我們去喝下午茶 (easy) | 有啊！____有很多種冰淇淋。 → 他們 | 你 / 我 / 我們
cloze | 我們去喝下午茶 (easy) | 有啊！他們有____種冰淇淋。 → 很多 | 只有 / 幾個 / 很少
cloze | 我們去喝下午茶 (easy) | 有啊！他們有很多____冰淇淋。 → 種 | 型 / 樣 / 類
cloze | 我們去喝下午茶 (easy) | 有啊！他們有很多種____。 → 冰淇淋 | 冰棒 / 冰沙 / 雪糕
cloze | 我們去喝下午茶 (easy) | 這____花很漂亮。 → 種 | 做 / 友美 / 咖啡廳 / 我 / 有 / 聽音樂 / 要 / 這個 / 那些
cloze | 我們去喝下午茶 (easy) | 這個蛋糕____。 → 好吃 | 不 ngon / 不好吃 / 難吃
cloze | 我們去士林夜市 (easy) | ____我要去看電視。 → 晚上 | 下午 / 中午 / 早上
cloze | 我們去士林夜市 (easy) | ____我要去逛街。 → 星期六 | 星期一 / 星期三 / 星期五
cloze | 我們去士林夜市 (easy) | ____是我的朋友，他很友善。 → 志豪 | 佳玲 / 李小 / 王大
cloze | 我們去士林夜市 (easy) | ____是我的朋友，她很好。 → 佳玲 | 志豪 / 李美 / 王小
cloze | 我們去士林夜市 (easy) | ____是朋友，很好。 → 我們 | 他們 / 你們 / 她們
cloze | 我們去士林夜市 (easy) | ____，我很高興。 → 太好了 | 不好 / 不高興 / 很壞
cloze | 我們去士林夜市 (easy) | 我____有課，所以不能去玩。 → 星期五 | 星期三 / 星期二 / 星期日
cloze | 我們去士林夜市 (easy) | 我____錢，可以買東西。 → 有 | 不夠 / 沒有 / 沒有錢
cloze | 我們去士林夜市 (easy) | 我____，謝謝你的關心。 → 沒事 | 受傷 / 有事 / 生病
cloze | 我們去士林夜市 (easy) | 我們____去公園玩。 → 一起 | 分開 / 各自 / 單獨
cloze | 我們去士林夜市 (easy) | 我們____散步，享受新鮮空氣。 → 出去 | 回家 / 留下 / 進來
cloze | 我們去士林夜市 (easy) | 我們____要去看電影。 → 六點 | 七點 / 九點 / 八點
cloze | 我們去士林夜市 (easy) | 我們六點在捷運站____。 → 見 | 走 / 跑 / 跳
cloze | 我們去士林夜市 (easy) | 我們去____吃小吃。 → 士林夜市 | 臺中夜市 / 臺北夜市 / 高雄夜市
cloze | 我們去士林夜市 (easy) | 我們在____見面。 → 捷運站 | 巴士站 / 港口 / 火車站
cloze | 我們去士林夜市 (easy) | 我回____了，很高興。 → 家 | 公司 / 公園 / 學校
cloze | 我們去士林夜市 (easy) | 我愛吃____，很好吃。 → 雞排 | 牛排 / 豬排 / 魚排
cloze | 我們去士林夜市 (easy) | 我愛喝____，很好喝。 → 珍珠奶茶 | 咖啡 / 紅茶 / 綠茶
cloze | 我們去士林夜市 (easy) | 我要____我的作業。 → 做 | 吃 / 喝 / 玩
cloze | 我們去士林夜市 (easy) | 我要____我的手機，誰看到它了嗎？ → 找 | 借 / 買 / 賣
cloze | 我們去士林夜市 (easy) | 這個東西很____，我很喜歡。 → 好 | 不好 / 不好吃 / 壞
cloze | 我們去士林夜市 (easy) | 這個食物很____，我很喜歡。 → 好吃 | 不好吃 / 不好喝 / 不香
cloze | 捷運站在哪裡？ (easy) | ____說謝謝。他走去捷運站。他很高興。 → 承翰 | 俊雄 / 志偉 / 志明
cloze | 捷運站在哪裡？ (easy) | ____：不遠，很近。 → 婉婷 | 淑芬 / 美華 / 雅玲
cloze | 捷運站在哪裡？ (easy) | 婉婷：____站在那裡 → 捷運 | 公車 / 火車 / 計程車
cloze | 捷運站在哪裡？ (easy) | 婉婷：____，很近。 → 不遠 | 很遠 / 有點遠 / 比較遠
cloze | 捷運站在哪裡？ (easy) | 婉婷：不遠，____。 → 很近 | 很遠 / 有一點遠 / 比較遠
cloze | 捷運站在哪裡？ (easy) | 婉婷：捷運____那裡 → 站在 | 位在 / 位於 / 坐落
cloze | 捷運站在哪裡？ (easy) | 婉婷：捷運站在____ → 那裡 | 右邊 / 左邊 / 這裡
cloze | 捷運站在哪裡？ (easy) | 承翰要____學校。他不知道捷運站在哪裡 → 去 | 來 / 買 / 賣
cloze | 捷運站在哪裡？ (easy) | 承翰要去____。他不知道捷運站在哪裡 → 學校 | 公司 / 圖書館 / 醫院
cloze | 捷運站在哪裡？ (easy) | 承翰要去學校。他____捷運站在哪裡 → 不知道 | 很近 / 曉得 / 記得 / 謝謝 / 走 / 高興
cloze | 捷運站在哪裡？ (easy) | 承翰說____。他走去捷運站。他很高興。 → 謝謝 | 不好意思 / 對不起 / 抱歉
cloze | 捷運站在哪裡？ (easy) | 承翰說謝謝。他____去捷運站。他很高興。 → 走 | 坐 / 跑 / 跳
cloze | 捷運站在哪裡？ (easy) | 承翰說謝謝。他走去____。他很高興。 → 捷運站 | 公車站 / 港口 / 火車站
cloze | 捷運站在哪裡？ (easy) | 承翰說謝謝。他走去捷運站。他很____。 → 高興 | 失望 / 悲傷 / 難過
cloze | 捷運站在哪裡？ (easy) | 承翰：____嗎？ → 遠 | 快 / 慢 / 近
