我們去喝下午茶 | cloze | ____是你的朋友。 → 我 | pool: 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
我們去喝下午茶 | cloze | ____是我的休息日。 → 星期六 | pool: 星期一 / 星期三 / 星期二
我們去喝下午茶 | cloze | ____是我的好朋友，她很友善。 → 友美 | pool: 小美 / 美好 / 美麗
我們去喝下午茶 | cloze | ____是我的朋友。 → 他們 | pool: 你們 / 它們 / 我們
我們去喝下午茶 | cloze | ____是我的朋友。 → 你 | pool: 他 / 做 / 友美 / 她 / 好吃 / 看書 / 週末
我們去喝下午茶 | cloze | ____要在家看書、聽音樂。 → 我 | pool: 他 / 你 / 她
我們去喝下午茶 | cloze | ____！你想去哪裡？ → 好啊 | pool: 不好 / 很好 / 還可以
我們去喝下午茶 | cloze | ____，妳這個週末要做什麼？ → 友美 | pool: 同事 / 家人 / 朋友
我們去喝下午茶 | cloze | ____，我們去吧。 → 好啊 | pool: 不去 / 不好 / 不行
我們去喝下午茶 | cloze | ____，我明白了。 → 啊 | pool: 哎呀 / 哦 / 嗯
我們去喝下午茶 | cloze | 他們有____冰淇淋嗎？ → 巧克力 | pool: 芒果 / 草莓 / 香蕉
我們去喝下午茶 | cloze | 你在____? → 哪裡 | pool: 什麼 / 怎麼 / 誰
我們去喝下午茶 | cloze | 友美，妳這個____要做什麼？ → 週末 | pool: 假期 / 冬天 / 星期一
我們去喝下午茶 | cloze | 友美，妳這個週末要____什麼？ → 做 | pool: 吃 / 喝 / 玩
我們去喝下午茶 | cloze | 好啊！____想去哪裡？ → 你 | pool: 他 / 她 / 我
我們去喝下午茶 | cloze | 好啊！你____去哪裡？ → 想 | pool: 可以 / 必須 / 需要
我們去喝下午茶 | cloze | 好啊！你想____哪裡？ → 去 | pool: 來 / 回 / 走
我們去喝下午茶 | cloze | 好啊！你想去____？ → 哪裡 | pool: 什麼 / 什麼時候 / 誰
我們去喝下午茶 | cloze | 妳星期六下午____嗎？ → 有空 | pool: 有時間 / 有空間 / 有錢
我們去喝下午茶 | cloze | 我____一家很不錯的咖啡廳。 → 知道 | pool: 不懂 / 不清楚 / 不知道
我們去喝下午茶 | cloze | 我____了。 → 知道 | pool: 不明白 / 不清楚 / 不知道
我們去喝下午茶 | cloze | 我____去旅行。 → 想 | pool: 必須 / 想要 / 需要
我們去喝下午茶 | cloze | 我____去看電影。 → 要 | pool: 必須 / 想要 / 需要
我們去喝下午茶 | cloze | 我____在家看書、聽音樂。 → 要 | pool: 可以 / 必須 / 需要
我們去喝下午茶 | cloze | 我____家裡。 → 在 | pool: 以 / 到 / 從
我們去喝下午茶 | cloze | 我____有課。 → 下午 | pool: 中午 / 早上 / 晚上
我們去喝下午茶 | cloze | 我____本書。 → 有 | pool: 不夠 / 沒有 / 缺少
我們去喝下午茶 | cloze | 我今天____。 → 有空 | pool: 困 / 忙 / 累
我們去喝下午茶 | cloze | 我們____去喝下午茶，怎麼樣？ → 一起 | pool: 分開 / 各自 / 單獨
我們去喝下午茶 | cloze | 我們____去看電影。 → 一起 | pool: 分開 / 各自 / 單獨
我們去喝下午茶 | cloze | 我們____見面。 → 兩點半 | pool: 一點 / 三點 / 四點
我們去喝下午茶 | cloze | 我們一起去____下午茶，怎麼樣？ → 喝 | pool: 吃 / 玩 / 看
我們去喝下午茶 | cloze | 我們一起去喝____，怎麼樣？ → 下午茶 | pool: 午餐 / 早餐 / 晚餐
我們去喝下午茶 | cloze | 我們這個____下午兩點半去吧。 → 星期六 | pool: 星期一 / 星期五 / 星期日
我們去喝下午茶 | cloze | 我們這個星期六____兩點半去吧。 → 下午 | pool: 中午 / 早上 / 晚上
我們去喝下午茶 | cloze | 我們這個星期六下午____去吧。 → 兩點半 | pool: 三點 / 五點 / 四點
我們去喝下午茶 | cloze | 我喜歡____。 → 看書 | pool: 玩遊戲 / 看電影 / 聽音樂
我們去喝下午茶 | cloze | 我喜歡____。 → 聽音樂 | pool: 玩遊戲 / 看電影 / 讀書
我們去喝下午茶 | cloze | 我喜歡去____。 → 咖啡廳 | pool: 商店 / 酒店 / 餐廳
我們去喝下午茶 | cloze | 我喜歡喝____。 → 下午茶 | pool: 午餐 / 早餐 / 晚餐
我們去喝下午茶 | cloze | 我喜歡在____睡懶覺。 → 週末 | pool: 假期 / 星期一 / 星期五
我們去喝下午茶 | cloze | 我想____一杯水。 → 喝 | pool: 吃 / 玩 / 看
我們去喝下午茶 | cloze | 我愛吃____。 → 冰淇淋 | pool: 冰棒 / 果汁 / 雪糕
我們去喝下午茶 | cloze | 我愛吃____。 → 巧克力 | pool: 糖果 / 蛋糕 / 餅乾
我們去喝下午茶 | cloze | 我愛我的____。 → 家 | pool: 公司 / 學校 / 醫院
我們去喝下午茶 | cloze | 我有____書。 → 很多 | pool: 一些 / 少 / 幾
我們去喝下午茶 | cloze | 我知道一家很不錯的____。 → 咖啡廳 | pool: 商店 / 酒店 / 餐廳
我們去喝下午茶 | cloze | 我知道一家很不錯的咖啡廳，那裡的冰淇淋很____。 → 好吃 | pool: 一般 / 不好吃 / 很難吃
我們去喝下午茶 | cloze | 我要____一份報告。 → 做 | pool: 吃 / 喝 / 玩
我們去喝下午茶 | cloze | 我要____家看書、聽音樂。 → 在 | pool: 到 / 從 / 為了
我們去喝下午茶 | cloze | 我要____看電影。 → 去 | pool: 來 / 回 / 走
我們去喝下午茶 | cloze | 我要在____看書、聽音樂。 → 家 | pool: 公司 / 圖書館 / 學校
我們去喝下午茶 | cloze | 我要在家____、聽音樂。 → 看書 | pool: 玩遊戲 / 看電影 / 聊天
我們去喝下午茶 | cloze | 我要在家看書、____。 → 聽音樂 | pool: 看電視 / 練習 / 聽廣播
我們去喝下午茶 | cloze | 有____！他們有很多種冰淇淋。 → 啊 | pool: 哇 / 哦 / 嗯
我們去喝下午茶 | cloze | 有啊！____有很多種冰淇淋。 → 他們 | pool: 你 / 我 / 我們
我們去喝下午茶 | cloze | 有啊！他們有____種冰淇淋。 → 很多 | pool: 只有 / 幾個 / 很少
我們去喝下午茶 | cloze | 有啊！他們有很多____冰淇淋。 → 種 | pool: 型 / 樣 / 類
我們去喝下午茶 | cloze | 有啊！他們有很多種____。 → 冰淇淋 | pool: 冰棒 / 冰沙 / 雪糕
我們去喝下午茶 | cloze | 這____花很漂亮。 → 種 | pool: 做 / 友美 / 咖啡廳 / 我 / 有 / 聽音樂 / 要 / 這個 / 那些
我們去喝下午茶 | cloze | 這個蛋糕____。 → 好吃 | pool: 不 ngon / 不好吃 / 難吃
我們去喝下午茶 | pinyin | 一起 → yīqǐ | pool: a / hěn duō / kànshū / liǎng diǎn bàn / nǎlǐ / nǐ / qiǎokèlì / tāmen / wǒ / xiàwǔ / xiàwǔchá / xiǎng / yiqi1 / yiqi2 / yiqi4 / yào / zhōu mò / zài
我們去喝下午茶 | pinyin | 下午 → xiàwǔ | pool: a / hē / hǎo a / hǎochī / kànshū / nǐ / qù / tāmen / tīngyīnyuè / xiawu1 / xiawu2 / xiawu4 / xīngqīliù / yīqǐ / zhǒng / zuò / zài
我們去喝下午茶 | pinyin | 下午茶 → xiàwǔchá | pool: a / bīngqílín / hē / kāfēitīng / liǎng diǎn bàn / nǐ / qiǎokèlì / qù / tāmen / xiawucha1 / xiawucha3 / xiawucha4 / xiàwǔ / zhīdào
我們去喝下午茶 | pinyin | 他們 → tāmen | pool: hē / hǎo a / jiā / kànshū / kāfēitīng / qiǎokèlì / tamen2 / tamen3 / tamen4 / wǒ / xiàwǔchá / xiǎng / yīqǐ / yǒu kòng / yǒu měi / zhīdào / zhǒng / zài
我們去喝下午茶 | pinyin | 你 → nǐ | pool: hē / hěn duō / hǎo a / nì / ní / nī / tīngyīnyuè / xiàwǔchá / xiǎng / yǒu / zhīdào / zài
我們去喝下午茶 | pinyin | 做 → zuò | pool: a / bīngqílín / hē / hěn duō / hǎochī / jiā / kànshū / liǎng diǎn bàn / nǎlǐ / nǐ / qiǎokèlì / tīngyīnyuè / yào / yǒu kòng / yǒu měi / zhīdào / zhōu mò / zúo / zūo / zǔo
我們去喝下午茶 | pinyin | 兩點半 → liǎng diǎn bàn | pool: hěn duō / liàng diǎn bàn / liáng diǎn bàn / liāng diǎn bàn / liǎng diàn bàn / liǎng dián bàn / liǎng diān bàn / liǎng diǎn bán / liǎng diǎn bān / liǎng diǎn bǎn / wǒ / yào / yǒu měi / zhǒng / zuò
我們去喝下午茶 | pinyin | 冰淇淋 → bīngqílín | pool: bingqilin1 / bingqilin3 / bingqilin4 / hē / hǎochī / liǎng diǎn bàn / qù / tīngyīnyuè / xiàwǔ / xiǎng / yǒu kòng / zhōu mò / zài
我們去喝下午茶 | pinyin | 去 → qù | pool: hǎo a / jiā / liǎng diǎn bàn / qú / qū / qǔ / wǒ / xiàwǔ / xiàwǔchá / xīngqīliù / yào / yǒu / yǒu měi / zhǒng / zuò / zài
我們去喝下午茶 | pinyin | 友美 → yǒu měi | pool: hē / hěn duō / hǎochī / jiā / nǎlǐ / nǐ / qiǎokèlì / tāmen / tīngyīnyuè / wǒ / xiàwǔchá / xīngqīliù / yào / yòu měi / yóu měi / yōu měi / yǒu kòng / yǒu mèi / yǒu méi / yǒu mēi / zhōu mò / zhǒng / zài
我們去喝下午茶 | pinyin | 咖啡廳 → kāfēitīng | pool: a / hěn duō / hǎochī / jiā / kafeiting2 / kafeiting3 / kafeiting4 / kànshū / nǐ / tīngyīnyuè / xiàwǔ / xiàwǔchá / yào / yǒu měi / zuò / zài
我們去喝下午茶 | pinyin | 哪裡 → nǎlǐ | pool: hē / jiā / nali1 / nali2 / nali4 / yào / zhīdào / zhǒng / zài
我們去喝下午茶 | pinyin | 啊 → a | pool: hěn duō / hǎochī / jiā / kànshū / qù / tāmen / tīngyīnyuè / wǒ / xiàwǔ / xīngqīliù / yào / yǒu / zài / à / á / ā / ǎ
我們去喝下午茶 | pinyin | 喝 → hē | pool: hè / hé / hě / hěn duō / kànshū / liǎng diǎn bàn / nǎlǐ / nǐ / tāmen / wǒ / xiǎng / xīngqīliù / yào / yǒu / yǒu kòng / zhǒng / zuò
我們去喝下午茶 | pinyin | 在 → zài | pool: a / bīngqílín / hē / hǎo a / hǎochī / kànshū / nǎlǐ / nǐ / qiǎokèlì / tāmen / xiàwǔ / xiàwǔchá / xiǎng / yīqǐ / yǒu kòng / zái / zāi / zǎi
我們去喝下午茶 | pinyin | 好吃 → hǎochī | pool: a / bīngqílín / haochi2 / haochi3 / haochi4 / hē / hěn duō / nǐ / tīngyīnyuè / xiàwǔ / xiàwǔchá / xiǎng / yǒu / zhōu mò / zhǒng / zài
我們去喝下午茶 | pinyin | 好啊 → hǎo a | pool: hào a / háo a / hāo a / hē / hěn duō / hǎo à / hǎo á / hǎo ā / hǎo ǎ / kànshū / nǎlǐ / qiǎokèlì / tīngyīnyuè / wǒ / xiàwǔchá / xiǎng / xīngqīliù / yǒu kòng / yǒu měi / zhǒng
我們去喝下午茶 | pinyin | 家 → jiā | pool: a / bīngqílín / jià / jiá / jiǎ / nǐ / tāmen / wǒ / xiàwǔchá / xīngqīliù / yīqǐ / yǒu / yǒu měi / zhōu mò
我們去喝下午茶 | pinyin | 巧克力 → qiǎokèlì | pool: hē / hěn duō / hǎo a / jiā / kànshū / kāfēitīng / liǎng diǎn bàn / nǎlǐ / nǐ / qiaokeli1 / qiaokeli2 / qiaokeli3 / qù / tīngyīnyuè / xiǎng / yīqǐ / yǒu / yǒu kòng / yǒu měi / zhīdào / zuò / zài
