── entry warnings ──
他們 學校在 山上 (easy): [pinyin-mismatch] 他們: authored "tāmen" vs computed "tāmén" (typo or multi-reading word)
他們 學校在 山上 (easy): [pinyin-mismatch] 姐姐: authored "jiějie" vs computed "jiějiě" (typo or multi-reading word)
他們 學校在 山上 (easy): [pinyin-mismatch] 高興: authored "gāoxìng" vs computed "gāoxīng" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 他們: authored "tāmen" vs computed "tāmén" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 有空: authored "yǒu kòng" vs computed "yǒukōng" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 聽音樂: authored "tīngyīnyuè" vs computed "tīngyīnlè" (typo or multi-reading word)
我們去士林夜市 (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (easy): [pinyin-mismatch] 我們: authored "wǒmen" vs computed "wǒmén" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 不錯: authored "bù cuò" vs computed "búcuò" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 幾個: authored "jǐge" vs computed "jīgè" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 有空: authored "yǒu kòng" vs computed "yǒukōng" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 這個: authored "zhè ge" vs computed "zhègè" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 了: authored "le" vs computed "liǎo" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 好不好: authored "hǎo bù hǎo" vs computed "hǎobuhǎo" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 怎麼: authored "zěnme" vs computed "zěnmó" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 我們: authored "wǒmen" vs computed "wǒmén" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 有一家: authored "yǒu yī jiā" vs computed "yǒuyìjiā" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 這個: authored "zhè ge" vs computed "zhègè" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 房間: authored "fáng jiān" vs computed "fángjiàn" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 桌子: authored "zhuōzi" vs computed "zhuōzǐ" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 橘子: authored "júzi" vs computed "júzǐ" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 睡覺: authored "shuì jiào" vs computed "shuìjué" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 空: authored "kòng" vs computed "kōng" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 聽音樂: authored "tīng yīnyuè" vs computed "tīngyīnlè" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 高興: authored "gāo xìng" vs computed "gāoxīng" (typo or multi-reading word)
捷運站在哪裡？ (easy): [pinyin-mismatch] 嗎: authored "ma" vs computed "má" (typo or multi-reading word)
捷運站在哪裡？ (easy): [pinyin-mismatch] 高興: authored "gāoxìng" vs computed "gāoxīng" (typo or multi-reading word)
捷運站在哪裡？ (hard): [pinyin-mismatch] 一直: authored "yī zhí" vs computed "yìzhí" (typo or multi-reading word)
捷運站在哪裡？ (hard): [pinyin-mismatch] 幾分鐘: authored "jǐ fēn zhōng" vs computed "jīfēnzhōng" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 不會: authored "bù huì" vs computed "búhuì" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 心裡: authored "xīnli" vs computed "xīnlǐ" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 時間: authored "shíjiān" vs computed "shíjiàn" (typo or multi-reading word)

── distinct questions ──
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 下課 / 做飯 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 中午 / 以後 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 中午 / 弟弟 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 中文 / 以後 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 中文 / 做 / 做飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 他們 / 姐姐 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 做 / 大樓 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 做飯 / 午餐 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 吃 / 姐姐 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 同學 / 姐姐 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中午 / 中文 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中午 / 做 / 吃
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中午 / 做 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中午 / 校園 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中午 / 風景 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 中文 / 做飯 / 午餐
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 他們 / 吃飽 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 做 / 學 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 午餐 / 回 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 吃 / 在 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 吃飽 / 時候 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 在 / 學 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 大樓 / 飯 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 姐姐 / 家裡 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 姐姐 / 家裡 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 下課 | ✓ 下課 | options: 下課 / 校園 / 飽 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 下課 / 中午 / 午餐 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 中文 / 午餐 / 學
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 中文 / 吃飽 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 中文 / 大樓 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 以後 / 弟弟 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 以後 / 飽 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 做飯 / 照相 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 午餐 / 弟弟 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 吃 / 照相 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 吃 / 風景 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 在 / 大樓 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 大樓 / 姐姐 / 照相
